MENU_NAME,DATA
단호박사블레,파삭파삭 가벼운 식감에 구수한 호박씨 듬뿍 단호박 사블레 만들어 봐요.
뮈슬리초코칩쿠키,유기농 초코 뮈슬리와 초코칩을 잔뜩 넣어 아주 큼직한 드롭 쿠키를 구웠어요.
아몬드타르트,밀키님댁에 놀러가서 보았던 고소고소한~ 아몬드견과류타르트. 흐흐 보기에도 먹음직스런 자태에 얼른 찜했었죠 히히. 고소하고 달콤한맛이 정말 그만인 타르트랍니다.
팥양갱,집에서 만든 팥앙금을 넣어서 그런지   달지도 않고 정말 맛있어요 ^^
오트밀쿠키,저번에 뭉이님이 보내주신 쿠키를 맛보고 그 맛에 반해서 -저도 얼른 만들어봐써요 .. > . < 오트밀이 가득 들어가서 파삭하니 ~~~식감도 무척 좋거니와 - 고소한게 넘 맛있어요 사진보고 혹시 고기(?)인줄 알고 오해하시는 분들도 많던데 ㅋㅋ 절대로 아닙니다 ㅋㅋ
쿠키,저번에 삼순이가 보내준 쌀크로칸트의 맛을 잊지못해 저도 만들어 보았어요 ^_^ 원래는 황치즈가루를 넣어서 만들어야 하는디  집에 없는 관계로 ^^ 코코아가루를 넣었답니다 히히
시나몬비스코티,계피향이 솔솔 나는 비스코티예요 :-)
통밀쿠키,통밀쿠키입니다. 레시피 정말 착해요ㅎㅎ 버터도 안들어가고   박력분도 안들어갑니다.
초코뮈슬리쿠키,바삭바삭 소리까지 맛있는 달콤한 쿠키예요 *^^* 초코칩의 달콤함과 뮈슬리의 고소함이 너무나 잘어울리는 쿠키입니다.  
검은깨샤브레,고소한 검은깨가 들어있는 샤브레예요 :-D
마로니에,오늘 만든 쿠키는 흰자머랭만 올리면 거의 반은 완성이라고 말할수 있는  비교적 과정이 간단한 쿠키예요. 달콤한 발렌타인데이와도 정말 잘어울린답니다
하트마카롱쿠키,마카롱 쿠키는 여러분이 아시다시피 엄청 달아서 먹고나면 그맛을 잊을 수 없답니다~^^* 한입 깨물면 파삭~하고 부셔지면서 쫀득하고 달콤함이 쓰나미처럼 밀려오는 마카롱 쿠키를 구워서 발렌타인 데이에 사랑하는 사람에게 선물해 보세요 아마 영원히 잊지못할 달콤함을 맛보게 될거에요~ㅎㅎ
견과류초콜릿,간단하게 만들수 있는 견과류 초콜릿~ 견과류대신 말린 과일을 올려 장식해도 좋고  몰드에 넣어서 굳혀도 좋아요 ^_^*
월병,설날을 맞이하여 구운 월병 ^_^* 월병틀은 넘 비싸 살 엄두가 안나서  집에 있는 실리콘틀을 이용해서 만들어 보았어요.^_^
모카쿠키,달콤한 초콜릿과 ~커피의 만남 > _ < 커피좋아하시는 분들은 커피가루 좀더 넣으심 되구요 *^^* 달콤한거 좋아하시는 분은 초콜릿 더 넣어주세요 ~^^
모카쿠키,견과류 쿠키인데요. 계란흰자와 설탕이 들어가는 쿠키입니다. 버터와 밀가루가 들어가지 않는 재료도 간단  만들기도 간단한 손쉬운 쿠키이지요.
쿠키,견과류가 아작아작 씹히면서 입안에서 사르르 녹는 크로칸트쿠키에요.
초코칩쿠키,저번에 난지한테서 선물 받은 초코칩을 넣어 만든 쿠키예요 . 색깔이 알록달록해서 아이들이 참 좋아할꺼 같아요 :-)
하트쿠키,사랑스런 하트속에 달콤한 충전물을 품고 있는 하트 누가쿠키예요 ㅎㅎ 바삭바삭 고소한 식감이 자꾸만 손이가게 만드는 고런 아이지용 ^_^*
시나몬메이플쿠키,저의 계피가루를 넣어 만든 쿠키입니당.
마늘바게트,바삭하고 마늘향이 솔솔나는 고소한 마늘바게트입니다. 그냥 먹어도 맛있고 파스타나 스프와 함께 식사대용 빵으로도 좋아요. 
삼색상투과자,모양도 이쁘고 맛도 좋은 상투과자입니다.
쿠키,얼룩무늬가 리얼한 리얼 젖소쿠키. 사실 모양쿠키는 맛보단 재미로 굽지만 맛도 중요하잖아요. 맛없음 안되니까. 식감은 바삭바삭하고 고소해요. 달지 않구요. 그냥 부담없이 먹기 좋은쿠키랍니다.
캬라멜비스코티,오독오독 자꾸만 손이가는 캬라멜 비스코티. 은은한 캬라멜향이 솔솔 자꾸만 손이 가요.
초코칩쿠키,하나만 먹어도 배가 든든한 초코칩 쿠키~!
장미꽃쿠키,딸기향기가 나는 모양도 아름다운 장미꽃 쿠키!
블루베리타르트,냉동 블루베리로 쨈을 만들고 소보루와 아몬드슬라이스를 올려서 엄청 고소한 타르트를 구워 봤어요~
