MENU_NAME,DATA
카레어묵전골,전골하면 다들 어려워 하시잖아요~ 근데 어묵이랑 시판장국을 이용해서 간단하고 맛있게 만드실수 있어요~ 아이들도 정말 좋아하는 카레어묵전골~ 함께 만들어 보아용~
조기매운탕,찬바람이 쌀쌀하게 불때면 더 땡기는 칼칼하고 시원한 국물~ 찌개나 국.탕 한가지만 있어두 밥 한그릇 그저 비울수 있는 우리 맛.. 참조기가 냉동고에 큼지막한 눔으로 두마리 들어 있네욤... 구워먹고 찜 해먹고 매운탕으로두 일품인 조기... 오늘은 얼큰하게 조기 매운탕... 매서운 바람에 기분 꿀꿀할땐 그저 매운게 땡겨욤..^^ 얼큰하게 조기 매운탕 함 끓여드셔보세요~
미역국,강원도 원주 5 일장이 설 때 마다 빠지지 않고 구입하는 통영 굴~ 언제나 먹어두 입맛 땡기는 굴... 초고추장에 맨 먼저 덥석 찍어 먹고 소주 한잔 기울이고.. 굴전으로 입맛 살려주고.. 굴국밥에 굴밥에... 굴을 무지 좋아하는 우리 식구들~ 요즘 굴을 많이 먹어서인가 얼굴이 포얗게 좋아진것두 같고 으흠..체력두 한결 좋아진거 같은 기분~ㅋㅌ한참 동안 미역국을 안 먹은것 같아..남은굴 어찌 먹을까 하다... 초간단하게 빠른 시간에 만들어 시원하게 먹을수 있는 굴 미역국.. 담백한 국물이 끝내줍니다.. 시원한 국 미역국 같이 끓여봐요~
들깨무국,매 식사 때마다 우리 주부들 국 끓이는거 쉽지 않쵸. 저두 매번 끼니 때 마다 오늘은 무슨국 끓일까 로 고민한답니다~ 물향기는 들깨를 좋아합니다. 들깨는 옛날 딸을 둔 어머니들이 딸 시집보낼때가 되면 들깨국을 많이 먹였다고 합니다. 그만큼 들깨가 피부를 윤택하게 하고 몸을 보한답니다. 들깨가 변비에두 좋치만 들깨죽을 수시로 끓여 드시면 빈혈에두 좋답니다. 고소한 들깨  음식에 다양하게 활용하세요~
시래기들깨탕,구수한 시골의 맛  사골 시래기 들깨탕
부추된장국,속풀이에도 좋고 향긋한 부추를 넣은 부추된장국! 된장은 식욕을 돋아주고 우수한 단백질 공급효과가 있지만 소금함량이 많아 나트륨이 많고 비타민 A와 C의 부족해요. 그런데 부추에 들어있는 칼륨이 나트륨을 섭취를 줄여주고 맛도 좋게 해주어 찰떡궁합을 자랑한답니다.
묵은지감자탕,지난해 담은 묵은지가 아직 김치냉장고에 보관되어 있는 우리집~ㅎ 이것저것 해 먹어도 맛난 묵은지.. 주말에 다시 한 솥 끓여 먹은 묵은지 감자탕.. 돼지 등뼈가 사골보다는 무지 착한 가격이라 종종 해 먹어요~ 주말에 온 가족이 모일때 미리 미리 준비해서 그득히 한상 올려보세요~ 묵은지 감자탕 집에서 물향기랑 함께 끓여보아요~
꽃게매운탕,지난 원주 5일장에서 푸짐히 구입한 게살이 듬뿍 든 꽃게랑 물 오른 오징어들~ 이런 저런 반찬들로 해 먹고 오랜만에시원한 꽃게탕이 땡기어 얼큰하게 꽃게탕을 식탁에 올렸답니다. 저희집 식탁에 국물요리는 언제나 얼큰~ 얼큰하게 먹어줘야 밥 제대루 먹은 기분이~^^ 이웃님들 식탁에두 오늘 꽃게 매운탕 어떠세요.. 물향기랑 꽃게매운탕 맛나게 끓여봐요~
닭개장,이 닭개장은 제가 첫아이를 가진 1985년 얼큰한게 먹고싶어 정말 맛있게 만들어 먹은  그때부터 이걸 끓이기 시작했으니 역사가 20년이 훌쩍 넘어가네요. 일년에 몇번은 끓여먹으니 닭개장에 대해서는 어느정도 일가견이 있다고 할 수 있겠죠? 저의 비법?을 여러분께 하나하나 알려드리도록 할께용~ 
홍합탕,강원도 원주에는 월욜 밤새 눈이 엄청 내려 이른아침까지 눈이 소복소복.. 제가 강원도 원주로 이사 한 지 3년차인데.. 지내는동안 원주에서 본 최고에 눈이였어요~ㅎ 마지막 겨울을 마무리 하는 눈인지 대설주의보까지 내려지고.. 눈이 많이 오고 이럴때 스키장 댕겨오믄 좋으련만.. 요즘 집안일이 많아 정신없어 나들이 갈 신세두 아니고.. 옥상에서 수북히 쌓인 눈에 발자욱 내고 새하얀 눈 맞으며 강아지 처럼 팔짝팔짝 뛰어봤답니다..ㅋㅌ 이런거 보믄 아직 저 유아틱하죠~ 에거 나이가 몇인데.. 비나 눈만 와두 센치 해 지고...^^ 화욜두 눈이 왕눈이 내려 시장보구 오는길 내내 즐거운 콧노래 부르고 왔답니다..^^ 추운날 땡기는 시원한 홍합국물~ 마침 홍합이 아직 있어 한소쿠리 구입~ 그냥 끓는물에 삶아 초장 찍어먹어두 너무 좋은데.. 이번엔 칼칼하게 먹고싶어 매운 홍고추 넣어 끓였더니.. 속두 확~풀리고 기분도 확~ 풀리고..너무 좋으네요~ 요즘 스트레스가 좀 쌓여 기분이 우울모드인데 얼큰한 홍합탕으로 우울 함 날려보세요~
대구탕,이제 곧 봄이 오겠ㅉㅛ~ 이번주는 무지 나들이 하기 좋을 정도로 따스함이 느껴져요~ 이제 슬슬 강변길 달려볼라면 겨우내 구석에 방치 해둔 자전거에 기름칠두 하고 타이어 바람도 만땅으로 채워 넣어야겠어요~ 아쉬운 겨울을 보내면서 얼큰하게 대구탕 준비했어요~ 요즘은 대형마트가 많아 손쉽게 손질된 생선들을 구입할수 있어 너무 편해요~^^
