MENU_NAME,DATA
근대된장국,비가 추적추적 내리는 어제와 오늘. 어저께 끓인 근대된장국이에요. 
이까슈마,오늘 아침... 마이드림네 식단이에요~ 밥 대신 가끔 이렇게 간단하게 차려내면 오히려 가족들이 더 좋아해요. 이렇게 차려먹으면.. 기분전환이 되지요..^^ 오늘 아침에는 스위트콘옥수수와 '이까슈마'로 한 접시 담아냈어요. 이까슈마는 한치를 갈아서 만든 어묵 비스므리한 일본식 딤섬인데요. 찜통에 쪄서 먹거나  튀기거나  이런저런 요리에 응용할 수 있어요. 일본사람들은 이걸 너무 좋아해서 줄을 서서 기다려서 사다먹고는 한다네요. 오늘 아침에 이걸 찐다고 서성거리니.. 남편이 뭐냐고 묻네요.. 이까슈마라고 했더니~ 잘못 알아듣고는.. 입가심? 이러는거에요.ㅋ
새우튀김,오늘 딸기가 올려 드릴 요리는용 ~ 날씨가 선선해지면 맹글어 묵기가 아주 좋은 ~ 열라 빠삭하구 열라 꼬수운 < 새우튀김 > 인대용 ~ 안 그래도 요즘이 대하철 인데 ~ 비싼 대하는 못 사더라도 그 동생쯤 되는 작은 새우를 사서리 ~ 간단하게 튀겨서 묵어 보셔용 ~ 오찌나 꼬소하구 빠삭 하던지 ~ 헤헤헤 ~
양파튀김,딸기가 어제 저녁에 맹글어 묵은 < 양파튀김 > 인데용 ~ 엄훠 ~ ♥ 아주 기냥 오찌나 바삭바삭하고 달콤하던지 ~ 겁나 맛있게 묵어서리 이웃님들께 살자쿵 알려 주려구 ~ 요로코롬 포스트 한번 올려 보아용 ~
새우마사고구이,새우에 열빙어알(마사고) 듬뿍 올려 오븐에 구워 맥주 안주로 먹었답니다~ 마사고는 열빙어알의 일본말이랍니다.. 간단하게 폼나는 새우구이 만들어 보세요~
순두부국,오늘 아침.. 마이드림네 식단이에요.. 냉장고에 콩 2컵을 불려놓은 것이 있어서 아침에 순두부를 만들었어요. 두부는 물을 빼는 작업을 해야하기 때문에 시간이 조금 걸리지만 순두부는 콩을 갈아 콩물을 끓이다가 간수만 넣으면 되기 때문에 간편하지요. 순두부를 만들고 남은 콩비지로는 전을 지졌답니다.
잡채,
돼지고기수육,요즘 멜라민파동으로 난리인데요...정말이지 이젠 뭘 믿고 사먹어야할지...? 얼마 전에도 소비자고발 프로그램에서 '음식재탕'이야기를 보고 경악했구요. 아무튼.. 건강하게 오래 살려면.. 최선을 다해서 조심할 수 밖에 없는 것 같아요.. 주식이든 간식이든..... 비싸더라도 좋은 재료를 사다가 집에서 해먹는 것~! 이렇게 하더라도...늘 불안하긴 하지만요. 암튼 최선을 다해야지요. 오늘은 작은빛님께서 보내주신 밤으로 밤조림을 만들었어요.
명란젓두부찌개,요즘 마이드림.. 냉동실을 정리하려고.. 마트에 가는걸 자제하고 있답니다.. 명절에 들어온 명란젓을 일부 얼려둔 게 있었어요. 그걸 꺼내 명란젓 두부찌개를 끓였답니다.
겨울초무침,10월 9일 마이드림네 식단입니다. 전날 롯데시네마에서 국제영화제 영화를 두 편 보았어요. 독일영화랑 이태리영화요. 중간에 시간이 남아서 지하마트에 내려가 두리번~ 두리번~~했지요. 마트에서는 저녁 마감시간이 다 되어서 세일을 하더라구요. 오랜만에 겨울초를 사보았습니당.^^
