MENU_NAME,DATA
열무김치,열무김치랍니당...^0^ 아삭아삭하니 시원한맛이 정말 일품이였어요~ 잘 모르겠는건 엄마한테 물어가며 만들었어용..^0^ 저 신부수업 톡톡히 하구있죵??~~ 만드는법도 별로 어렵지 않고... 간단한 재료들로도 맛있게 만들 수 있으니... 저와 함께 열무김치 맛나게 담가보실분~
설렁탕깍두기,꼭 국밥집에 가면 같이 나오는 큼지막한 깍두기가 왜이리도 맛있던지  아삭아삭하니 시원한 일반적으로 만드는 깍두기와는 다른 그 비법! 지금 가르쳐드릴테니~~ 꼼꼼히 읽어보세용!
상추겉절이,완전 초간단한고 입맛당기고 새콤달콤한 상추 겉절이를 만들어볼게요. 상추 겉절이는 바로 무쳐서 숨 죽기전에 빨리 먹어야해요. 그럼 만들어 봐요.
열무김치,더운 여름철 입맛을 잃기 쉬운 때  더운 날씨를 이겨내는 건강식으로 열무김치를 소개해드릴게요.
오이소박이,먹을때마다 아작아작 물도 많고  시원한 소리까지 나서 점점 줄어드는 것이 아까울 정도의 맛 오이소박이랍니다.
오이배김치,아삭아삭 소리가 나는 맛있는 오이배김치랍니다.
굴깍두기,시원한 굴 향기가 솔솔 나는 향긋한 굴깍두기만 있으면 밥 한 그릇을 뚝딱 비워낼 수 있지요. 배추김치를 담그는 시간과 노력의 반만 투자하면 깍두기 한 통이 뚝딱 나와요.
총각김치,저번주에 담근 총각김치를 가지고 왔습니다. 왠지 김치하면 번거롭게만 생각되고 어려울거 같은데  전혀 어렵지 않구용. 만드는 법은 간단하고 재료도 간단한데 맛은 일품이더라구용.
조개젓갈,그야말로 밥도둑이 따로 엄는 조개젓갈임돠. 김 모락모락 올라오는 뜨끈한 밥에 얹어서 먹으니 완전 붸리 굿이네용. 다른 반찬 필요 엄쪄요. 역시 젓갈은 밥도둑 맞아요. 맞아! 그럼 이젠 조개젓갈 집에서 맛나게 담궈보세용.
파래김치,파란 물파래에 양념을 넣고 젓갈에 무쳐 김치를 담았어요. 새콤달콤한 파래 무침보다는 깊은 맛이 나는 것이 제 입맛에 딱이랍니다. 뜨거운 밥이랑 먹으면 입맛이 확.
오이물김치,아삭아삭 깔끔한 오이 물김치입니다.
강된장,쓱쓱 비벼먹는 매운 강된장입니다.
오이김치,
오이깍두기,설명은 알기 쉽게하기 위하여 길게 적었지만.. 오이ㄱㅏㄲ두기를 만드는 시간은 얼마 안걸려요. 오이를 절이는 시간에 다른 재료 손질을 하고 손질이 끝나면 양념을 넣어 버무리면 된답니다.
파김치,파의 향이 좋은 아삭아삭한 파김치입니다. 만들기 정말 쉬워요.
오이소박이,아삭아삭 매콤한 오이소박이입니다.
상추겉절이,그냥 밥반찬으로도 좋구요. 고기 먹을때 함께 먹으면 더욱 좋은 몸에 좋은 감식초를 넣어 맛있게 무쳐낸 새콤달콤 상추 겉절이. 재료도 만드는 방법도 간단하니 좋답니다.
열무김치,밥 비벼서 먹는 김치로 최고의 김치는? 바로 열무김치죠... 열무김치에 달걀 프라이 하나 해서 고추장 넣고 참기름 넣어 비벼서 먹으면 아무런 생각이 안들죠... 아니....밥 많이 먹게되고  살찌는 지름길이라고나 할까? 맛있게 만드는 열무김치..... 김치 만들기에 도전해 보세요....^^
고구마줄기김치,제가 너무너무 좋아하는 고구마줄기로 만든 김치를 소개해 드릴까해요~
녹차물김치,녹차를 활용해 몸에도 더 좋고 색도 예쁜 물김치를 만들어볼게요~
오미자열무물김치,오미자는 단맛  신맛  쓴맛  짠맛  매운맛 등 5가지 맛이 난다고 하며 예로부터 피를 맑게 하고 식은 땀을 줄이며 갈증 해소 효능이 있다고 알려져 있어 차로도 물론 좋지만 이렇게 음식에 가미시켜도 너무 좋아요.
간장게장,꽃게가 한철! 간장게장  콩전 만들기 
깍두기,아삭아삭 매콤한 깍두기를 소개합니다~
파김치,입맛없을때 생각나는게 몇가지 있죠..그중에 곰삭은 파김치도 들어가는데요 어제 열심히 파다듬어서..뭘할까 고민하다가..파김치 반하고..나머지는 파전 구워먹고...ㅋㅋㅋ 그래서 어제는 오랜만에 파김치 담았어요.. 많은 양은 아니지만 울신랑 오래두면 먹지도 않고..몇번 먹고 말아야 하니 요정도면 딱이다 싶네요~
약고추장,밑반찬으로 약고추장 만들어 봤어요~만들기는 또 얼마나 쉬운지~
파김치,새콤매콤한 파김치 레시피를 소개합니다~
나박물김치,시원하고 아삭아삭 맛있는 나박김치입니다.
배추겉절이,배추 먹다가 1/4쪽이 남아서 뭘할까 하다가.. 그냥 배추겉절이나 해서 저녁에 먹어야겠다..싶어서..휘리릭 만들었어요. 요건 칼국수집가면 생김치 갓 담궈서 많이들 먹는 스타일인데.. 울집은 엄마가 어릴때부터 겉절이 담아서..참기름 한방울 넣어서 잘 버무려줘서 먹음 더 고소하고 맛있답니다.
배추물김치,입맛없을땐...물김치가 있으면 밥한그릇이 뚝딱이라는 울친정엄마 말씀인데요. 요건 아이들이 좋아하니 가끔 만들어 주긴 하는데. 이번에는 아주 오랜만에 배추랑 무우 넣어서 물김치를 담았답니다.
얼갈이배추김치,김치 만드는 것 어렵게 생각하지 마시고 한 번 시도해 보세요. 시간이 좀 걸려서 그렇지 생각만큼 어렵지는 않답니다. 다만 집집마다 김치맛이 다르니까 이 레시피가 입맛에 맞지 않을 수는 있어요. 하지만 한 두번 하다보면 입맛에 맞게 양념을 가감하실 수 있으니까 일단 시도해 보세요.
