MENU_NAME,DATA
어묵김말이,맛있는 김말이에 쫄깃함을 더한 어묵 김말이예요-
양파링튀김,완전 바삭바삭 맛있어요~ 특히 양파를 싫어하는 아이들에게도 거부감없이! 왜냐면 바삭바삭하고 매운맛도 전혀 없답니다!
고구마치즈스틱,평소에 치즈스틱을 만들때 튀김옷을 꼼꼼히 입히지 않으면 튀길때 치즈들이 삐져나와서 불편했는데~ 이제는 그런 걱정 하지마세요~ 치즈가 달콤한 고구마옷을 입으면 빠져나오지도 않고 더 맛있다는 사실~ 함께 만들어 보아요
호두가래떡구이,손님대접에도 좋고 아이들에게도 좋은 호두 가래떡구이입니다.
고구마보트,달콤하고 부드러운 고구마가 커스타드크림을 만나 한층 더 고급스러운 맛을 자랑하는 고구마보트입니다.
포테이토스킨,감자는 어떤걸 해먹어도 맛있지만 간혹 좀 느끼하고 리치한 맛을 원할때가 있죠. 패밀리레스토랑 같은곳에나 가야 맛볼수 있는 포테이토스킨을 집에서도 쉽고 간단하게 만들어 먹을수 있어요. 기름에 튀기지 않고 오븐에 굽기 때문에 덜 느끼하고 담백하게 즐길수 있답니다.
홍시아이스크림,비타민C가 풍부한 감으로 아이스크림을 만들었답니다.
닭꼬지,오늘은 닭가슴살로 만들어서 살걱정도  덜고 매콤한 맛으로 가슴살의 텁텁함도 덜 수 있는 닭꼬지를 만들어보았답니다.
단호박해물치즈구이,달콤한 단호박과 고소한 치즈  매콤화끈한 해물과 떡이 참 조화롭고 맛있어요. 한끼 식사로도  영양만점 간식으로도  술안주로도 손색없는 단호박 해물치즈구이입니다.
푸딩,부들부들 부드럽고 달콤한 커스터드 푸딩. 차게 해서 먹으면 정말 고소하고 부드럽고 달콤한게 아주 맛있어요. 카라멜소스와 함께 요렇게 먹으면 달콤함이 두배. 아주 소프트하고 달콤하게 때문에 남녀노소 누구나 좋아할것 같아요.
오븐웨지감자,마늘의 풍미가 어우러진 고소한 웨지감자구이입니다.
미니고구마,맛난 고구마로 뭘 해먹을까 궁리 하다가 많이들 해드시는 미니 고구마를 해봤어요~
뮈슬리바,쿠키에 넣어 구워도 좋고  우유에 타서 먹어도 좋은 뮈슬리. 요 뮈슬리로 뮈슬리바를 만들어 놓으면입이 심심할때나 출출할 때 좋길래 만들어 보았어요. 만드는 방법도 초간하답니다.
연어또띠아말이,연어는 오메가-3지방산이 풍부하고 몸에도 좋다고 합니다. 몸에 좋은 연어를 도띠아에 말아서 만든 연어 트위스터입니다.
찹쌀경단,직장동료가 경단에 묻힐 고물이 많이 남았다고 제게 제법 많이 주네요. 떡본 김에 제사를 지낸다고 색깔별로 골고루 경단을 만들었습니다.
크림치즈딸기카나페,파티를 위한 초간단 럭셔리 메뉴크림치즈 딸기 카나페와 모듬 카나페입니다.
초콜렛,럼주 대신 깔루아를 넣어 향이 더 깊고 진한 쫀득 쫀득 사르르 녹아 버리는 아주 부드러운 초콜렛이예요.
고구마크림치즈구이,고구마 구이를 만들려고요. 설탕과 버터만 넣고 구워도 맛있지만 이번에는 크림치즈를 듬뿍 넣고 구워보았답니다.
아몬드초콜렛,고소한 통아몬드에 캐러멜코팅을 하고 다시 초콜렛 코팅을 했기 때문에 아주 맛있어요. 한번 손대면 정말 멈출수 없는 맛!
