MENU_NAME,DATA
토마토스파게티,한번 만들어 두면 이모저모 쓸 용도가 많은 토마토소스를 이용한 토마토 스파게티.
오징어볶음우동,오늘은 오징어를 맛있게 볶아봤어요~ 보통 오징어볶음은 소면이랑 같이 많이들 드시잖아요~ 근데 소면대신 우동사리를 넣으면 오통통하게 씹히는 맛이 더 좋답니다~ 보기에는 매워도 막상 먹을때는 많이 맵지 않아서~ 아이들과 함께 드실 수 있어요~
뚝배기라면,누구나 쉽게 끓일 수 있는 라면에 제철을 맞은 싱싱한 굴과 김치를 넣어서 맛있는 라면을 끓여보아요.
야끼만두,오늘은 떡볶이의 베스트프렌드 야끼만두를 만들어 볼게요. 분식집에서 흔히 먹는 야끼만두보다 더 바삭바삭하고 안이 꽉찬 야끼만두예요. 저는 분식집 야끼만두의 기름에 쩔은듯한 그 식감이 너무 싫었는데 시판 만두피를 이용해서 집에서 만드니 바삭바삭하고 정말 맛있답니다.
소고기크림치즈오븐스파게티,김밥속 남은걸로 만든 김치 소고기 크림 치즈오븐 구이 스파게티 
파스타,입맛 없는 날에 초간단으로 먹을수 있는 타라코 앤젤 헤어 파스타 
얼큰수제비,쫄깃하고 화끈한 수제비입니다.
탕수만두,얼마전 마트가서 1:1 행사로 구입한 부추물만두.. 제가 물만두 엄청스리 좋아한답니다.. 떡만두국두 끓여먹고 찜통에 쪄서두 먹꼬~ 오늘은 새콤달콤 탕수만두로 점심 당첨.... 냉장고 늘 있는 야채 짜투리들 모아모아 탕수만두 만들어욤~ 영쓰에 물만두로 탕수만두 만들기..시작합니다..
모밀국수,겨울에 딱인 따듯한 모밀국수입니다.
메밀전병,절이나 잔치상 손님상에 강원도 상차림에서 빠지지않는 메밀전병.. 함께 만들어봐요~^^
해물볶음라면,출출할 때 해먹으면 최고인 해물볶음라면 레시피를 소개합니다~!
햄크림파스타,쫄깃쫄깃 새송이와 햄도 씹히고 브로콜리고 씹히고  느끼하지 않고 고소한 햄 크림소스 파스타입니다.
김치스파게티,며칠전 돼지고기랑 김치 넣고 두루치기 한게 남아 비지나 끓여먹을려고 남겨둔게 있어 비지 준비하다 갑자기 스파게티를 요구하는 옆지기를 위해 느끼하지 않은 김치스파게티로 메뉴 변경.. 따로 김치를 볶지 않아도 되는 편리함~ 혹시 남은 김치두루치기 있음 활용 해 보세요~
칼국수,으슬으슬 추울땐 뜨끈한 칼국수~
상하이파스타,매콤하게 확~ 당기는 맛!! 상하이 쉬림프 파스타
콩나물곤약비빔면,곤약은 쫄깃쫄깃~~~ 콩나물은 아삭아삭~~~ 요게 무슨 소리냐구요??? 저희집 식탁위에서 느껴지는 식구들의 행복한 외침이랍니다.
짜장면,집에서 만든 홈메이드 짜장면 이예요. 사먹은 짜장면보다 푸짐하고 맛있답니다. 채소와 고기를 듬뿍넣었고  옥수수와 계란을 넣어 더욱 고소하고 맛있어요. 
파전병,항상 새벽에 눈이 떠지는 마이드림..오늘도 역쉬나 눈을 뜨니 새벽 3시 반~ 이것저것 밀린 일 좀 하고 아침을 차렸지용... 집에 있는 날은 평소 먹고팠던 특별식? 으로.... ^^* 중국식파전병을 만들어 아침식사를 했답니다.
시금치크림스파게티,영양 가득 고소한 시금치 크림 스파게티입니다~
봉골레스파게티,조개와 와인향이 그득한 봉골레스파게티
쫄면,뭐니뭐니해도 쫄면의 생명은 양념장인거 같아요. 아무리 재료가 맛있고 출중해도 양념장이 맛 없으면 무슨 맛으로 먹을까요? 제가 쫄면의 생명인 양념장 만들기 비법! 알려드릴테니 저와 함께 쫄깃하고 새콤달콤한 쫄면 만들어 보아요~
볶음우동,몸이 한없이 축 쳐질때 먹음 온 몸가득 기운이 팍팍팍 솟아나게 하는 매콤한 우동두반장볶음이예요.
토마토스파게티,오늘은 제가 아이들에게 평소 해서 먹이는 간식을 소개해 드리도록 할게요... 밥 대신에 끼니를 대신할 수 있는 간식.... 같이 만들어 보고 아이들에게 점수 톡톡히 따보세요....^^
파스타,이탈리아 만두라 불리는 깔조네안에 들어간 파스타
치킨카레우동,우동사리 사다 놓은게 있길래 닭가슴살을 넣고 치킨 카레우동을 해먹었어요. 시간도 오래 걸리지 않고 너무 맛있는 치킨 카레우동이랍니다.
사시미곤약쫄면,사시미곤약으로 쫄면처럼 비벼먹어봤어요. 사실 쫄면맛은 초장과 야채 그리고 쫄깃거리는 질감이잖아요. 사시미곤약도 똑같이 쫄깃거리면서 초장맛과 잘 어울리고요. 곤약이 섬유질덩어리이고 칼로리가 아주 낮다는 점이 너무 좋네요.
탕수만두,겉은 바삭  속살은 부드러운 바삭한 탕수만두입니다.
만두, 
김치비빔국수,빠알간 색깔이 감칠맛 나죠? 주말에 점심이나 야밤에 야식으로 이만한게 없죠. 간편하게 만들어 먹는 김치비빔국수입니다.
