MENU_NAME,DATA
스팸샌드위치,보통 스팸은 그냥 구워서 밥에만 올려먹잖아요~ 하지만 샌드위치로 만들어 먹으면 더~ 맛있답니다~ 아주~ 간단하지만 폼나는 스팸 샌드위치~ 함께 만들어 보아요~
새우볶음밥고로케,새우는 조금만 생각을 달리해도 정말 색다른 요리가 탄생하는 재료랍니다~ 이쁜 고로케 한번 만들어 보아요~
스팸오이식빵롤,스팸이랑 오이만 있으면 간단하게 만들 수 있어서 아이들과 함께 만들어 봐도 좋을거 같아요~ 간단히 도시락쌀때나 피크닉 기분을 내고 싶을때 아이들 간식으로도 좋아요~
미니새우버거,기름에 튀긴 새우버거는 NO! 신선한 야채와 새우로 만든 더 건강하고 맛있는 미니새우버거♥ 
밤식빵,집에서 만든 밤조림과 국내산 쌀가루로 만든 빵이라 안심하고 먹을수 있어요. 나풀나풀 뜯어지는 쫄깃하고 부드런 닭살 질감을 자랑하는 쌀로 만든 밤식빵 같이 만들어 보실래요?
에그스팸샌드위치,
쌀빵,이름에서부터 고소함이 묻어나는 빵 !보자마자 이거 맛잇겟다 싶어서 얼른 만들었어요 >ㅁ< 호두랑 통밀이 들어가   고소한맛이 그만인 빵이지요 :)
팥파운드케이크,팥앙금이 들어간 파운드케이크~ㅎ_ㅎ 달콤한 밤조림과 호두를 넣어 더 맛있어요 > __ <
파네토네,파네토네는 이탈리아 밀라노 지방의 대표적인 빵으로 설탕에 절인 과일과 견과류등을 넣고 발효시킨 빵이라고 합니다. 크리스마스를 기다리며 몇달전부터 만들어 두고두고 조금씩 떼어 먹는 파네토네는 그 맛과 향이 정말 기가 막힌 빵이죠. 1600년경 이탈리아 밀라노 지방에서 토니라는 제빵사가 사랑하는 여인을 위하여 처음 개발한 빵으로  파네토네라는 이름은 토니의 빵(Pan de Toni)이라는 의미에서 유래되었다고 하네요. 또 파네는 '빵'  토네는 '달다'는 뜻도 있다고 합니다. 함께 만들어 보시죠.
브라우니,안녕하세요~ 오늘은 진한 초코맛의 브라우니를 만들어봤는데요 물론 맛은 조금은 다를 수 있지만 거의 흡사하면서 초콜릿과 유지류가 안들어가서 한조각당 열량은 100cal 정도 낮은 브라우니랍니다. 예민하고 섬세한 입맛으론 구분하시겠지만 전 비슷하더라고요.
아티잔브레드,아티잔 브레드를 만들었어요 ㅎㅎ 윤정님이 만든것처럼 모양은 이쁘게 나오지 않았지만서도 ㅎㅎ 그래도 맛은 좋으니까 만족할려구요 히히 :)
브라우니치즈케이크,달콤한 브라우니와 부드러운 치즈케이크를 한번에 맛볼수 있는 케이크예요 :)
브라우니,크리스마스에는 뭐니뭐니해도 달콤한 브라우니가 딱이죠*^^* 거품기로 저어주기면 하면 누구든지 간단하게 만들수 있고 실패확률도 거의 제로! 어서 만들어 보아요 ㅎㅎ
밤머핀,직접 만든 밤페이스트  밤조림  일본식 밤조림을 듬뿍 넣어 밤 풍미 가득 밤머핀을 만들어보았어요.
크랜베리브리오슈,계란과 버터가 많이 들어가서  넘넘 달콤하고 촉촉하고 부드럽고 바삭한 맛.... 거기에 듬뿍 들어간 밤에 크랜베리까지... 우앙... 오랜만에 먹으니 넘넘 맛있다....
바나나프렌치토스트,간단한 아침식사 메뉴로 좋은 바나나 프렌치 토스트
갸토쇼콜라,갸토쇼콜라 레시피입니다. 
몽블랑,입안에서 살살 녹는 몽블랑> . < 실제로 파는건 먹어보지 못했지만 집에서 만드는것도 넘 맛있어요ㅎㅎ
포카치아,포카치아는 이탈리아에서 서민들이 즐겨먹던 빵으로 주로 이탈리아 중남부지방에서 만들기 시작했다고 하네요. 담백하고 부드러운 빵에 발사믹식초와 올리브유를 찍어서 먹으면 정말 끝도없이 먹게 되는 중독적인 맛. 간단하게 올리브와 양파를 곁들여서 풍미좋은 포카치아를 만들어 보았어요. 김영모 선생님의 레시피로 만들어 보았습니다.
흑미와플,구수한 흑미의 풍미가 가득한 겉은 아삭아삭 속은 부드러운 너무 맛있는 와플을 흑미가루로 만들어 보았어요.
메론빵,퐁신퐁신 ~달콤한 메론빵이예요 :)
튜나에그샌드위치,간단하고 푸짐하게~ 튜나&에그 샌드위치 
대추스콘,대추야자의 달콤함이 어우러져 담백하고도 아주 맛있는 스콘이랍니다.
모카머핀,커피향 가득하고 촉촉한 모카머핀을 함께 만들어 봅시다.
버섯포카치아,이탈리아 레스토랑에 가시면 꼭 나오는 빵!! 포카치아♥ 제가 너무 좋아하는 빵이랍니다~ 오늘은 몸에 좋은 버섯은 듬뿍 올려서 담백하게 구워보았어요~ 여기에 치즈도 가득 올려 함께 구워도 너무 맛있답니다~
파니니,그냥 먹어도 좋고 샌드위치를 만들어도 좋은 파니니. 원레시피엔 올리브유가 듬뿍 들어가지만 칼로리도 조금 낮춰보고 맛도 비교하고 싶어서 카놀라유 라이트로 만들어 봤습니다.
파니니,담백한 파니니안에 세가지맛의 속재료를 넣은 파니니 모듬 샌드위치입니다. 칼로리가 낮은 파니니에 싱싱한 채소와 담백한 고기와 달걀을 넣어 영양 가득한 다이어트 브런치입니다.
버터케이크,이름만 들으면 자칫 느끼하다고 생각할수도 있는 케이크지만 전혀 느끼하지 않아요 으하하 . 달콤한 버터케이크 어서 만들어 보아요 ~
아몬드치즈케_,아몬드가루를 듬뿍 넣어 바닥을 만든~ 달콤한 아몬드 치즈케이크예요 ^ ^ 치즈케이크를 넘넘 좋아하시는 울엄마를 위해 얼른 맹글었지요 > _ < 히히
레몬생크림케이크,생크림을 듬뿍 넣고 만드는 케이크인데요. 촉촉하고 부드러운 맛이 일품이예요. 레몬필과 파피씨드  유자청을 넣고 만들어서 상큼하고 향긋  포피씨드도 톡톡 터지는 맛난 케이크예요.
초콜릿케이크,쫀득하고 달콤한 더블 초콜릿 케이크:3 요새 느끼한거랑 달콤한거랑 너무 좋아져서 큰일이예요. 이러다가 굴러다닐지도..흐흐
시나몬큐브,시나몬가루를 좀 더 추가해 모양도 이쁘고 샤르르 녹는 향긋한 시나몬큐브를 만들어 보았어요. 슈가볼보다 훨씬더 맛있고 세련된 느낌이라고 할까요?
초코바나나머핀,초코와 바나나는 환상궁합이라고 했었지요. 맛의 조화가 너무 좋아서 베이킹 할때 빠지지 않는 두 재료로 제일 무난하고 맛있는 머핀을 만들어 보았어요. 포실포실 달콤하고 부드럽고 바나나와 초콜렛의 풍미가 가득한 정말 달콤하고 맛난 머핀이 만들어 지더라구요. 중간 중간 바나나 과육도 있구요. 초코칩이 들어 있어서 더욱 달콤해요.
