MENU_NAME,DATA
토마토카프레제샐러드,피자가 인기메뉴로 전세계음식으로 퍼졌듯이 이 토마토카프레제도..인기를 모으는 이유를 알겠더군요. 이 샐러드는 이태리 카프리섬에서 유래되어 카프레제라는 이름이 붙여졌다고 하는데요. 바질  생모짜렐라치즈  토마토  올리브유와 발사믹식초가 서로 어우러져서 나오는 맛궁합이 정말 짱이더군요. 짱짱해용~~ 생모짜렐라치즈도 고소하니 맛있구요. 건강에 좋은 토마토  허브  올리브유 그리고 양파까징~ 허브향이 확 퍼지면서 재료들의 맛이 서로서로 잘 어울리더군여^^ 그래서 제가 제목에 베스트셀러라는 이름을 붙여주었어요.
연어계란샐러드,연어로 계란과 함께 샐러드를 만들어보았어요. 계란을 마들렌 실리콘틀에 쪄서 훈제연어와 야채를 함께 담아내니 모양도 이쁘고 연어와 샐러드채소랑 잘 어울리네요. 
연두부샐러드,칼로리도 낮고 건강에 좋은 콩의 영양과 섬유질의 보고  한천으로 만든 연두부 손님상 식전요리로도 괜찮고 야식이나 간식으로도 좋은 아이템인것 같네요.
딸기견과류샐러드,그윽한 딸기향이 듬뿍 들어간 딸기견과류샐러드를 만들어보았어요. 보통 샐러드는 순수하게 야채나 과일만 가지고 만들어도 손색없지만  동물성 재료 등을 적절히 섞어 한 끼 식사로도 괜찮은 샐러드도 있지요.
닭가슴살샐러드,다이어트나 몸짱들이 가장 즐겨 먹는다는 닭가슴살이기도 하지만... 아삭아삭한 야채를 곁들여 톡~쏘는 겨자소스에 버무려먹음 .. 젓가락이 가요 젓가락이 가 닭가슴살 샐러드에 젓가락이 가..ㅋㅌ 닭가슴살 샐러드 물향기랑 만들어 보아요~
쉬림프딸기샐러드,상큼한 쉬림프 딸기샐러드에요. 그냥 가볍게 브런치로도  애피타이저로도 손색이 없는 메뉴랍니다.
치킨시저샐러드,신선한 한접시 치킨 시저 샐러드입니다.
콘샐러드,엄마가 밥도 안 차려주고 밥차려먹기 귀찮을때 자주 해먹는 저의 베스트 메뉴♥ 스팸밥입니다요~ 오직 필요한거는 뭐?? 스팸과 따끈한 밥!! 그리고 5분!! 5분이면 뚝딱 만들어 내는 스팸밥_ 특별히 이웃분들께 보여드리는 것이기 때문에 약간의 시간을 더 들여보았죠!! 콘샐러드와 함께 만들어 보아요~
참외컵샐러드,오늘 소개할 요리는요~~ 요즘 참외철이라 참외가 참 달달하면서 맛있잖아용. 그래서 참외로 들고 먹을 수 있는.. 핑거푸드!! 샐러드를 만들어 봤어요.^0^ 이 메뉴는.. 디저트로도 훈륭하고요~ 파티메뉴에도 아주 제격이랍니다. 집들이나 아이들 생일파티.. 등등~ 손님들 찾아오실때 만들어서 내놓으시면 정말 좋은메뉴에요. 만드는 방법도 아주 간단하니~~ 함 따라해보세용~^0^
샐러드,일본 여행책을 보다가 피쉬케이크 델리라는 곳을 보았는데  오동통한 피쉬케이크랑 볶음밥이랑 더운야채 샐러드로 만든 런치세트를 보니 저도 한번 만들어 보고싶더라구요. 그곳은 쪄서 피쉬케이크를 만든거 같던데  찜기 꺼내기 귀찮으니 패스. 그냥 노릇노릇 구워서 샐러드로 만들어 보았어요. 함께 만들어 보아요. 그냥 샐러드보다 피쉬케이크를 곁들이니 한끼식사로도 손색없어요.
샐러드,수분함량이 많은 오븐스마일빵 오늘은 한 끼 식사로도 좋은 샐러드 샌드위치를 만들어보았어요.
