MENU_NAME,DATA
블루베리쨈,첨가물이 가득 들어있는 쨈보다는 집에서 직접 만들어보아요~ 설탕도 조절할수 있고 맛도 좋은 홈메이드 쨈♥ 오늘은 제가 너무 좋아하는 블루베리를 이용해서 만들어 볼께용~
바질페스토,노심초사 애지중지 키웠던 바질. 직접 키운 신선한 바질로 바질 페스토를 만들어 보았어요. 향긋함이 그대로 살아있는 바질 페스토입니다.
크림소스,홍합에 부드러운 크림소스 옷을 입혔어요~ 홍합이 제철인 요즘에 색다르게 즐겨보는 홍합요리 초대요리로도 손색없는 홍합크림소스♥
리코타치즈,풍미가 상큼하며 젖당의 감미로운 맛이 나고 벌꿀이나 잼을 올려 디저트로 먹거나 라비올리 등의 속으로도 이용하는 리코타 치즈는 프랑스 코르시카섬에서 만드는 브로츄와 비슷하나  이탈리아의 리코타는 요리나 과자의 재료로서 쓰는 일이 더 흔하고  가벼운 레드와인  커피나 홍차와 함께 들기도 한다고 나오네요. 집에서 생크림과 레몬즙  우유  소금만 있으면 비교적 간단하게 연성치즈를 만들수 있어요.
카레,항상 집에서 먹던 홈메이드카레에서 업그레이드 된 맛? 확실히 파키스탄 카레가 향도 더 진하고 맛이 강해서 그런지 그 알수 없는 평소에 접하지 않았던 향신료맛이 나면서 전 더 맛있더라구요. 집에 여러가지 카레가 있다면 섞어서 만들어 보세요. 맛이 훨씬 더 좋아요.
깡장,오늘 아침에 깡장을 만들어먹었어요. 방아잎 듬뿍 들어간 강된장도 너무 사랑하는데요. 오징어랑 돼지고기  고추장과 쌈장  된장이 듬뿍 들어간 깡장도 맛있네요.
캬라멜크림,한번 만들어 놓으면 여기저기 유용하게 쓰이는 캬라멜 크림. 특히나 생크림의 압박이 심할때 만들어 두면 좋죠. 달콤하면서 쌉싸름한 캬라멜 크림. 재료도 간단하고 만들기도 쉬워요.
키위바나나잼,지중해풍 열대과일맛 키위바나나잼입니다.
바닐라설탕,집에 성능 좋은 푸드프로세서랑 설탕  바닐라빈만 있으면 언제든 쉽게 만들수 있는 바닐라설탕입니다.
연유,만주를 만들때 필요한 연유  팥빙수나 먹을때 필요한 연유를 매번 유통기한이 지나서 몹시 아까워하면서 버렸던 기억이 나서 연유를 직접 만들기로 맘먹고 구글 검색을 하다 찾은 착한 레시피입니다.
