MENU_NAME,DATA
고구마그라탕,그냥 먹어도 달고 맛난 고구마지만 좀 더 달콤하고 맛나게 특별하게 그라탕으로 즐기는 것도 좋죠. 요건 달콤한 커스터드 크림과 아몬드 슬라이스를 더해 더욱 달콤하고 고소하게 즐길 수 있답니다.
버팔로윙스,미국 뉴욕주 서부의 버펄로에서 유래 되었다는 버펄로윙스. 콜라겐이 많아 쫀득하고 매콤달콤해서 술안주로도  아이들 간식으로도  손님 접대용 요리로도 그만이라죠. 콜라겐이 주름살에 좋다고 하던데  많이 먹으면 눈가에 주름이 쫙쫙 펴질까요? 술안주와 손님 접대용으로는 매콤하게  아이들 간식으로는 핫소스를 조금 빼고 만들면 좋아요. 맥주안주로도 그만이구요. 특별한 상차림에 사이드메뉴로도 또는 메인메뉴로도 손색이 없을것 같아요.
베이컨그라탕,안녕하세요~ 요리하다보면 썰어놓은 양파나 피망이 남거나 사두었던 베이컨  햄이 있는경우가 생기지요. 그럴때 남은밥(찬밥)이 있으면 슈퍼에 파는 300원짜리 스프를 이용해서 맛있는 그라탕을 만들수 있답니다. 별 양념없이 깔끔하게 소금 후추 간만 했는데도 너무 맛나드라고요~
찹스테이크,요즘처럼 파티가 많은 연말행사엔 요런 패밀리레스토랑 메뉴 따라잡기도 참 괜찮은것 같아요~ 생각보다 비교적 쉽고 간편해서 손님맞이용 파티용 메뉴로 정말 손색없는 메뉴 랍니다~ 물론 맛도 훌륭하구요~ 다가올 크리스마스엔 가족들과 오붓하게 찹스테이크 꼬치구이 괜찮겠죠?
김치오믈렛,큼직큼직 썰어 넣은 구운햄과 김치 볶음밥  부드러운 크림소스와 스크램블의 조화 말로 설명하기 어렵습니다. 다소 느끼할수 있는 크림소스를 매콤한 김치볶음밥이 중화 시켜주고요. 햄이 씹혀서 풍미도 좋고 더 맛있어요. 매콤새콤 쫄깃 고소. 정말 한접시 가득 다양한 맛이예요. 주말에 별식으로 만들어 내 놓아도 정말 좋을것 같아요.
두부샌드그라탕,울 식구들이 다 좋아라하는 두부.... 우리집 찌개요리에 빠지는 법이 없는 두부.... 이 두부로 두부샌드그라탕을 만들었는데요... 정말 별미중의 별미랍니다...
등갈비바베큐,등갈비를 바베큐소스만 발라서 오븐에 잠시 구워내니.. 우하~~ 너무 간단하게 완성되었어요.
바베큐립,집에서도 레스토랑 베베큐립을 간단히 만들수있어요~ 부드러운 육질에 새콤달콤한 소스가 더해져 더욱 맛있는 바베큐립이랍니다.
감자계란그라탕,진한 크림소스가 듬뿍 들어가 더 고소한 계란과 감자를 색다르게 즐기는 감자계란그라탕입니다.
브로콜리볶음밥,부드러운 육질과 새콤달콤한 소스가 만나 더욱 맛있는 바베큐립과 고소한 브로콜리 베이컨 볶음밥입니다. 집에서 간단히 즐기는 파티요리 어떠세요?
