MENU_NAME,DATA
돼지고기김치찌개,술안주로 딱인 매콤한 돼지고개 김치찌개 끓여볼게요~
냉이순두부찌개,보글보글 냉이순두부찌개~ 이거 하나면 다른 반찬 필요없어요.
꽁치김치찌개,다른반찬 필요없는 매콤한 꽁치 김치찌개를 소개합니다~
순두부찌개,고기가 들어가서 해물을 넣는것과는 또 다른맛이 나용. 더 감칠맛이 좋다랄까용. 적극추천하는 보들보들 순두부찌개입니다. 
부대찌개,언제부터인가 너무 먹고싶었던 부대찌개... TV방송만 봐두 어째 부대찌개만 전문점이 줄줄이 나오고..ㅡㅡ 침 꼴깍~삼키며 입맛만 다셨답니다.. 드뎌 이마트 갈일이 생겨 부대찌개에 들어가는 통조림을구입... 부대찌개엔 콩 통조림이 들어가야 제맛인거 같아요~ 명절때 선물로 들어온 스팸통조림도 종류별로 다양하게 쌓여 있어... 드뎌 부대찌개를 해 먹었어요~ 물향기랑 오늘 부대찌개 얼큰하게 끓여봐요~
꽃게된장찌개,미리 사다 넣어둔 꽃게로 아침상에 좋은 꽃게된장찌개를 끓였어요~
차돌박이된장찌개,어제 오후에 갑자기 비가 마구 뿌리더라구요. 저녁엔 무슨 반찬을 해먹을까 곰곰히 생각하다가 차돌박이 된장찌개를 끓이기로 결정했지요.
두부명란젓찌개,새 올케가 들어오면서 이바지 음식이랑 같이 온 명란젓갈~ 친정부모님들이 젓갈류를 안 좋아라 해서 제가 다 사들고 왔답니다..ㅋㅌ 너무 좋아요~ㅎ 명란으로 여러가지 해 먹을수 있으니..마음이 흐~뭇....ㅋㅋㅋ 친정서 무언가 한아름 싸들고 오믄 부자된듯한 느낌... 행복하여라~랄라 명란젓갈만으로 간단히 찌개를 끓일 수 있어 비싸지만 요긴하게 쓰인답니다. 물향기랑 두부 명란젓찌개 끓여보아요~
돼지목살김치찌개,밥 한그릇 쓱싹 비우게 만드는 칼칼한 돼지목살 김치찌개입니다~
두부지짐찌개,두부는 늘 있는데  찌개나 국도 끓이기 싫고... 뭔가 훌훌 잘 넘어가면서 맛있는 그런 음식이 필요해서 찌개와 조림의 중간 단계인 두부지짐찌개를 만들어 먹었지요... 한번 해서 맛있으면 연신 몇일을 올리는지라...(여러분들도 그렇지 않으세용~~? ㅋㅋ) 한 3차례는 해서 먹었는데  남편도 아이들도 참으로 잘 먹더라고요... 두부 한 모 사서 한냄비 해서... 그냥 냄비나 뚝배기 채로 내면.... 이 두부지짐찌개 하나만으로도 밥 한그릇 뚝딱...!!
