MENU_NAME,DATA
홍시요거트,아이스크림 메이커 없이도 아주 쉽게 얼마든지 프로즌요거트를 집에서 만들어 먹을 수 있답니다.
식혜,무방부제  무색소  무첨가물 홈메이드 식혜!!!
모과차,황사도 예방할 겸 환절기에 찾아오는 감기도 예방할 겸 기관지에 좋은 모과차를 만들어 보았어요. 모과에는 비타민C가 많구요. 탄닌산이 들어있어 청량감도 느끼게 해주는데요. 특히 기관지에 좋아 목감기를 예방하기 때문에 차로 만들어 수시로 드시면 좋답니다.
귤쥬스,진짜 귤로 만드는 귤 쥬스만들기 
커피,진한 에스프레소 커피를 만들어 얼음넣고 오리지날 그대로 마셔 주기도 하지만 제가 오늘 올리는건 위에 사진처럼 커피를 얼려서 슬러시처럼 시원하게 마시는 아이스 밀크 커피랍니다.
고구마라떼,요즘 '고구마라떼'가 유행인가보더라구요. 그래서 저두 한번 만들어봤지요.
주스,오늘은 망고를 갈아 주스를 만들고  망고주스 속에 토마토젤리를 넣어보았어요.
레몬차,레몬과 설탕 물 얼음만 있음 되는거니 누구나 쉽게 만드실수 있을꺼에요~^^ 레몬레이드는 즙을 내서 물에 타 설탕이라 꿀등을 추가시켜 만들어 먹는건데 이리 설탕에 재워두고 나오는 즙을 이용하는게 편하더라고요 ~ 이리 재웠다 냉장고에 두고두고 먹음 따뜻한 차로도 드실수 있고 ~ 일석이조 랍니다! ~
양파물,몸에 좋은 양파물 전에는 쇼핑몰에서 주문해서 먹곤했는데 ~ 예전에 나온건 원액 그대로 나온 제품들이 많았는데 요즘은 양파즙에 한약재나 솔잎등 다른 제품을 첨가시켜 즙으로 나온상품들이 많더라고요. 먹기 수월하게 과일향도 좀 나는거 같곤한데~ 전 집에서 이리 만들어 먹어요 순수양파즙이라 좋고요. 또 무엇보다 간편하고 수월하고 제손으로 일일이 씻어서 만들다 보니 깨끗하기도 하고요 ~ 어디 파는거 이리 깨끗하게 손질해서 만들겠어요~ 조금 손이 가더라도 양파와 물만있음 되는 요리이니 댁에서 직접 만들어 드세요~ 
레몬에이드,톡 쏘는 레몬에이드 집에서 만들어볼게요~
포도화채,포도를 싫어하는 아이들도 재미있게 먹을수있는 알알히 살아있는 포도화채입니다.
복숭아스무디,다이어트 음료로도 좋고 그냥 출출할때 만들어 먹기 좋은 복숭아 스무디를 만들어봤습니당
배스무디,얼음과 요구르트를 같이 넣고 갈면... 시원하게 맛있게~~~ 특별한 음료로 드실 수 있어서 좋아요....^^ 계피가루 살짝 뿌려 드셔도 좋아요.... 배는 계피랑 참 잘 어울려요~~~~
토마토주스,오늘은 동안이 되는 비결인... 올리브유를 넣은 토마토 주스를 만들어 봤습니다.. 저번 추석특집으로 ★킹에서 어떤 동안이신분이 나와 소개를 했던 주스인데.. 원래 저도 이렇게 자주 만들어 먹었거든요~ 예전부터 토마토랑 올리브유랑 궁합도 잘맞고... 또 토마토는 익혀서 먹음 더 좋다하여~~ 맨날 토마토를 살짝 삶아서 갈아 마시곤 했는데... 정작 레서피로는 올려본적이 없어서리 가져왔습니당..^^ 주스는.. 그냥 과정.. 별로 없잖아요~ㅎㅎ 그냥 믹서기에 윙~~하고 갈기만 하면 되니... 그래도 혹시나 모르시는분들을 위해.. 짧게나마 올려보아요~~
바나나주스,식이섬유가 풍부해 변비예방에 좋은 바나나 주스입니다.
대추생강차,감기 예방  간 기능 보호에 성인병과 노화방지까지 손발이 찬 사람에게도 좋고 빈혈에도 좋은 대추를 차로 끓여 은은하게 즐겨보시는거 어때요?
꿀생강차,겨울이면 또 생각이 나는 생강 생강차가 어느새 겨울이 되면 나도 모르게 먹고 싶어 지는 이유가 뭘까요? 생강이 가지고 있는 효능에 대해서 한번 찾아 보았어요. 생강의 생즙은 감기나  기침  천식  현기증과 두통에 좋다고 합니다. 생즙을 물에 적당히 타서 매일 1컵씩 마시면 페와 위를 보호한다고 하네요. 생강즙에 꿀을 타서 마시면 내열과 구역으로 음식을 섭취하지 못하는 것을 다스리기도 합니다... 혈액을 맑게 하고  냉증이나 관절 신경통에도 좋다 하고 발한작용과 해열작용  또 더부룩한 속을 다스리기에도 좋다 하고~~ 무엇보다 생강을 항산화 및 열 생성작용을 한다는 연구 결과가 나와 있는데  이는 우리 몸의 찬 기운을 따뜻하게 해주는 역활을 한다고 하네요.. 그래서 추운 겨울이면 따뜻한 생강차가 몹시도 땡기는가 봅니다. 생강차는 그냥 생으로 담가 먹는 방법과 조려서 덜 자극적으로 먹는 방법 2가지가 있는데요. 저는 이번에는 쉽고 간단하게 하려고  그리고 생강 자체의 생즙이 아무래도 더 낫지 않을까 싶어서 생으로 갈아 만든 생강차를 만들어 보았어요. 한번 만들어 두면 겨우내 오래 두고 보관해서 먹어도 좋으니깐  만들어서 겨우내 마시자고요~ 저도 냉장고 가득 만들어 두고 생각날 때마다 타서 먹고 있는데  편하고 좋은것 같더라고요.
키위요거트파르페,상큼함과 싱그러움을 가득 담은 새콤달콤 키위 요거트 파르페입니다.
배수정과,선물받은 튼실한 배도 있어서 년초 기분도 낼겸 겸사겸사 배수정과를 만들었어요~ 명절 음식으로 인기있는 수정과  명절날뿐 아니라 요즘같이 추운날 감기예방 음료로도 인기가 좋지요~~ 맛있게 만들어서 추운날 감기예방도 하시고 곧 다가올 설명절날 요긴하게 활용도 해보세요.
귤차,감기에 좋은 향긋한 귤차입니다.
바나나두유,고소하고 달콤한 바나나두유입니다.
에이드,톡톡 쏘아주는 스위티에이드입니다.
식혜,더욱 달콤하면서 시원한 식혜예요. 달콤한 맛의 어른들뿐만 아니라 아이들도 무척 좋아한답니다. 식전후 디저트 음료로 좋아요.
단호박식혜,노오란 단호박식혜입니다.
에이드,과육도 살짝 씹히는 맛이 겨울에 먹어도 시원하니 맛있는 스위티에이드입니다.
딸기슬러시,칙칙한 칼라의 겨울옷을 벗어버리고 온 세상이 노랑  분홍옷으로 갈아입는 계절 속으로 쏘옥~ 들어왔네요. 몇일 전부터 피부속까지 시렸던 꽃샘바람의 시샘은 멀리 떠나가고.. 이젠 봄기운이 완연해진 것 같아요. 봄과일  딸기로 시원하게 슬러시를 만들어보았어요. 하얀색 우유와 함께 갈아놓으니 핑크빛이라 더 이쁘네요. 맛 또한 얼마나 예술인지^^ 딸기는 일년 내내 먹었음 좋겠어요. 
딸기슬러시,우유나 크림이 들어가지 않은 딸기 자체의 맛을 살린 상큼하고 푸릇푸릇한 딸기 슬러시 만드는 방법입니다.
칡차,제가 어렸을 적에도 이 칡즙을 많이 팔았어요. 실제로 칡을 그 자리에서 즙을 내서 바로 마실 수 있도록 길거리나 시장 등에서 팔기도 했었는데.. 조금 씁쓸하니.. 그 옛날에 맛보았던 기억이 새록새록 납니다. 저는 말린 칡을 슬로우쿠커에서 우려냈답니다.^^
밀크티,홍차에 쌉싸름한 맛을 부드러운 우유가 감싸줘 달콤하고 향기로운 밀크티예요. 요즘같이 추운 겨울철 만들어 마시면 몸을 따뜻하게 만들어줘서 더욱 맛있고 좋답니다. 스콘이나 비스켓과 함께 곁들여 먹으면 더욱 맛있답니다. 
우유셔벗,초간단 간식 시원하고 고소한 우유셔벗입니다.
레몬에이드,달콤상큼 시원한 레모네이드입니다. 이것저것 하고 어중간하게 레몬이 하나 남았다면 권해드려봅니다. 레몬은 그냥 생수에 넣어서 먹어도 향긋하니 좋잖아요~
키위주스,싱그러운 맛과 색  그린키위를 이용한 리얼 생과일 주스  그린 키위주스랍니다. 그냥 잘익은 그린키위와 시럽이나 꿀  생수만 있으면 누구나 간단하게 만들어 마실수 있어요.
바나나우유,바나나우유는 엄마들이 아이들 간식으로 자주 해주는 메뉴 중에 하나일꺼에요. 그냥 흰우유를 먹이는 것보다는 달콤한 맛의 바나나를 함께 갈아주면 속도 더 든든하고 영양분도 더 많아져서 아이들 간식으로 아주 좋거든요~ 만드는 방법도 무척이나 간단하죠~
수박화채,저녁식사후 디저트로 시원한 수박화채를 만들어 먹었어요. 제철과일인 수박과 함께 천도복숭아와 방울토마토도 넣어서 만들었어요. 샹그리아를 만들어 먹고 싶었는데 아이들과 함께 먹을 꺼라 와인대신 오렌지 쥬스를 넣어서 수박화채를 만들었지요.. 오렌지 쥬스 대신 와인을 넣으면 샹그리아가 된답니다.
토마토슬러시,과일을 그대로 얼려 갈아만든 여름음료 토마토 슬러시입니다.
석류펀치,탄산수로 만드는 석류펀치와 블루베리 펀치입니다.
포도주스,포도에 포도즙을 넣고 끓여 더욱 진하고 맛있는 포도 주스예요. 새콤달콤해서 어린아이에서부터 어른들까지 두루 좋아한답니다. 빵이나 식사대용 주스로 좋아요.
포도쥬스,상큼한 우유빛 포도쥬스입니다.
카페모카,커피전문점에서 만든것처럼 달콤하면서 맛있는 아이스 카페모카예요. 위에 생크림과 초코소스를 더해 더욱 달콤하게 만들었고 시원해요. 
복숭아쥬스,부드럽고 달콤한 복숭아 쥬스 예요. 자체에 단맛을 가지고 있는 복숭아에 요구르트와 올리고당까지 첨가해서 더욱 상콤달콤해요. 특히 더운 여름 얼음과 함께 갈아먹으면 갈증을 해소해주는 주스랍니다.
요거트,순수한 맛 그대로 퓨어 프로즌 요거트입니다.
수박쥬스,유치원에서 쿠키틀로 수박에 예쁘게 찍어서 모양놀이를 했나봐요~ 그래서 저도 아이랑 집에서 가끔 하게 되는데요~ 쿠키틀로 찍고 남은 수박으로 쥬스를 만들어 함께 먹으니까 훨씬 좋더라구요~
인삼쉐이크,요 인삼쉐이크는 쌉싸름하면서도 은근히 당기는 인삼 특유의 맛이 있어서 어르신들이 특히 좋아하시지만 조금 달게 만들면 젊은 사람들도 맛있어해요. 보통 어르신들은 일반 차가운 음료는 몸에 별로 안좋다고 잘 안드시지만 요건 몸에 좋다고 찾아서 챙겨드시니까 집안에 어른이 있으시면 함 해드려 보세요. 그러면 아마 이쁨 받으실 것 같아요. 
레몬에이드,톡톡 쏘는 탄산수에 새콤한 레몬을 퐁당! 넣어 더욱 상콤달콤한 레몬에이드예요. 샌드위치와 함께 브런치 음료로도 좋고  상콤한게 땡길때 딱 좋은 음료랍니다. 
호두우유,우유속에 머리가 좋아지는 호두를 퐁당! 고소하고 담백해 더욱 맛있는 호두우유랍니다. 빵이나 케이크 다른 디저트 음식없이 호두우유자체로만 먹어도 맛있어요. 든든한 아침식사대용우유로도 좋고 아이들 간식이나 어른들 음료에도 좋답니다. 
차,기관지가 안좋은 남편을 위한 건강차 
