MENU_NAME,DATA
떡볶이,남은 잡채로 김말이와 떡볶이를 만들었어요. 특히 명절때 잡채가 많이 남죠? 버리지 마시고 김말이로 만들어 떡볶이와 함께 먹어보세요. 떡볶이와 함께 먹어 더욱 맛있는 간식이 된답니다.
스테이크,브라운소스와 스테이크소스중 원하시는 소스를 선택하셔서 만드세용~^0^ 갠적으로는 스테이크소스가 더 맛난거같아요.
계란볶음밥,오늘 아침 마이드림네 식단입니당.^^ 어제 저녁에 스파게티를 했더니 밥통에 밥이 남은거에요. 밥은 언제나 금방 지어먹어야 Good~! 밥통 속에서 오래된 밥은 볶음밥이나 덮밥 등으로 변신을 시켜서 맛나게 해드세요.^^ 그리고 아이들이 제가 만들어준 간식을 좋아해서 부랴부랴 미니케익을 구웠네요. 조금 달달~~하던데요. 이름하야 허니버터케익~!
감자볶음파스타,꼬들한 면과 고소한 감자  아삭한 야채를 볶아서 여름에 입맛없을때 누구라도 간단하게 해먹을수 있는 그런 파스타에요. 감자볶음에 피자치즈만 얹어 오븐에 구워줬어요. 그냥 감자볶음 치즈구이라고 할수도 있고  그라탕이라고 할수도 있답니다.
치즈김치전,전엔 반죽속에 치즈를 섞어서 해봤는데 위에 듬뿍 올려서 먹으니깐 뭔가 양이 찬다는 느낌이. 치즈가 들어가면 원래 하시던 반죽보단 좀 더 간이 되게 하세요. 싱겁게 드시면 무관하구요. 아니면 위에 피자처럼 토핑해서 김치피자 해도 좋을꺼같네요.
스테이크,냉장고 속 불고기로 뭔가 색다른 방법으로 먹을 방법을 없을까 고민에 고민을 거듭하다가 만들게된 메뉴 입니다. 든든하니 밥없이도 한끼 거뜬히 때울수 있겠더라구요.
새우월남쌈,손님대접으로도 좋은 두가지 새우요리 월남쌈과 새우구이입니다.
감자,감자로 만든 간식 2가지를 소개합니다.
감자,맛있는 감자로 쉽게 만들수 있는 간식 입니다.
파닭,요즘닭고기 요리 여러번 해먹게 되네요 파닭입니다  간장소스 뿌리고 대파 채썰어 뿌려주었습니다 
카나페,하얀 두부를 휘리릭 감은 오이롤 카나페예요. 쌈장을 위에 올려 따로 간을 하지 않아도 되고  깔끔담백해 손님 접대용 메뉴로 좋아요! 
달걀,햇살 가득 받으면서 접시 위에 놓인 이 녀석은 건강한 달걀로 만든 속을 채운 달걀요리예요.
돼지고기,돼지고기 핑거푸드! 생소할텐데요~ 귀엽고 앙증맞은 금귤 미트볼이 한입에 쏙~~ 핑거푸드 달콤하고 상큼한 금귤과 대추방울 토마토 참깨 미트볼이 맛과 향을 더합니다.국립축산과확원 주최로 주류(막걸리 와인 맥주 등) 안주 가족사랑 웰빙 가정요리 대회가 있었습니다. 저는 한입에 쏙 들어가는 금귤과 대추방울 토마토에 미트볼을 넣어 만든 요리로 최우수상을 받았습니다.
쌈,남은 잡채 재활용한 지성잡쌈입니다.
쌈,고소하고 쫄깃한 쌀피와 잡채가 어우러진 잡쌈
두부스테이크,우리 식탁에 빠지지 않고 오르는 두부입니다. 늘 먹는 두부가 식상 하시다면 조금 색다르게 요리해 보는 건 어떤가요?
참치도시락,두부로 이쁜 도시락 만들기~
짜투리타타,짜투리 야채 처리에 탁월  냉장고를부탁해 김풍 레시피 짜투리타타
나쵸피자,오늘은 더운 날씨 입맛 찾아줄 상콤한 레몬에이드와 누가해도 맛있는 나쵸피자를 올려봅니다.
모닝계란빵,피크닉 도시락으로 딱 좋은 모닝계란빵과 단호박구이 레시피
순대꼬치,평소에 마트서 장볼때 마트표 순대를 한팩씩 집어오는데 요걸로 색다른 간식을 만들어주고 싶더라구요. 학창시절 즐겨먹었던 순대꼬치가 급 생각나서 시도해보았는데 아이들이 맛있게 잘 먹어주어서 소개해볼까해요.
여주,여주는 쓴오이라고도 불리며 요즘 건강을 위한 식재료로 각광받고 있는데요! 오늘은 그런 여주를 이용한 요리를 보여드릴려고 합니다ㅎㅎ
옥수수치즈전,백종원의 옥수수전 응용버전입니다. 아이들 간식으로도 최고이고  어른들 술안주로도 딱이랍니다.
파닭,아이들 학교 다녀오면 늘 배고프다고 간식거리 찾는데요. 냉동실에 치킨너겟 사두면 간단하게 간식 준비할 수 있어서 좋잖아요! 오늘은 치킨너겟 텐더로 파닭 만들어봤어요. 치킨너겟 튀겨서 파채와 소스 곁들이면 맛있는 파닭이 된답니다.
옥수수치즈전,백종원씨가 선보였던 옥수수전인데요~ 연유 대신에 치즈를 듬뿍 올려 더욱 더 맛나게 만들어 먹었답니다. 간식으로도~ 맥주안주로도 완전 좋아요.
크림리조또,삼각김밥으로 약 5분만에 뚝딱 만들어낸 크림 리조또다. 그 맛은 상상을 초월한다. 어디가서 돈주고 리조또 많이 사먹어보진 않았지만 좀 저렴하다 싶은 식당에서 리조또 사먹을때의 맛과 비교해도 전혀 떨어지지 않는다. 역시 삼각김밥이 맛있긴 한가보다. 초간단 레시피! 삼각김밥 크림 리조또~ 자취생들이나 요리가 귀찮은 사람들에게 강추 레시피다. 캠핑가서 간단하게 만들어 먹기에도 안성맞춤이다.
