MENU_NAME,DATA,Category
베이컨,너무 맛있는 오븐으로 만든 수제 베이컨 만들기 입니다. ,기타
치킨시저샐러드,신선한 한접시 치킨 시저 샐러드입니다.,기타
쨈,요즘 무공해 자두맛에 푹~빠져 있답니다.. 달고 새콤한 자두가 얼마나 좋은쥐.. 생으로 먹고 말려서두 먹고..말려서 자두를 먹으면 변비에 특효랍니다.. 피로회복과 노화방지.빈혈.고혈압 예방에두 좋고 혈액순환작용에두 우수한 효능을 지닌게 자두랍니다.. 여름과일로 요즘 한창 나오는 자두 많이들 드셔욤.. 간단하게 할수 있는 자두쨈.. 보통 딸기쨈 포도쨈.이렇게 만들어 드시는뎅.. 자두로두 쨈을 할수 있답니다.. 얼마나 달고 새콤한쥐.. 식욕을 자극합니다..,기타
계란볶음밥,오늘 아침 마이드림네 식단입니당.^^ 어제 저녁에 스파게티를 했더니 밥통에 밥이 남은거에요. 밥은 언제나 금방 지어먹어야 Good~! 밥통 속에서 오래된 밥은 볶음밥이나 덮밥 등으로 변신을 시켜서 맛나게 해드세요.^^ 그리고 아이들이 제가 만들어준 간식을 좋아해서 부랴부랴 미니케익을 구웠네요. 조금 달달~~하던데요. 이름하야 허니버터케익~!,기타
껍질콩새우볶음,중국풍 껍질콩 새우볶음,기타
프리타타,어제 아침식사로 먹은 옥수수프리타타입니다. 여러 재료와 계란과 생크림을 섞어 오븐에 구운 이태리식 계란찜이지요.,기타
바질피자,바질향이 솔솔 나는 새우스파게티와 바질피자입니다.,기타
병어매운탕,언제나 맛있는 병어매운탕,기타
배샤베트,식사 후  입안을 개운하게 마무리해주는 디저트는 여러가지가 있어요. 보통 달콤한 아이스크림류나 케익  또는 과일과 커피 등이 있는데요.. 이렇게 생과일을 갈아서 얼려만든 샤베트도 참 괜찮지요.^^ 살짝 단맛이 돌 정도로 덜 달게 만들어 먹으면 칼로리초과도 염려없구요.^^ 풍성한 가을의 상징인 배를 가지고 배샤베트를 만들어보았습니다.,기타
두부고추장조림,,기타
돼지고기수육,요즘 멜라민파동으로 난리인데요...정말이지 이젠 뭘 믿고 사먹어야할지...? 얼마 전에도 소비자고발 프로그램에서 '음식재탕'이야기를 보고 경악했구요. 아무튼.. 건강하게 오래 살려면.. 최선을 다해서 조심할 수 밖에 없는 것 같아요.. 주식이든 간식이든..... 비싸더라도 좋은 재료를 사다가 집에서 해먹는 것~! 이렇게 하더라도...늘 불안하긴 하지만요. 암튼 최선을 다해야지요. 오늘은 작은빛님께서 보내주신 밤으로 밤조림을 만들었어요.,기타
