MENU_NAME,DATA,Category
크로켓,마트에 가면 디츠라는 다이어트 식품이 있어요. 콩단백질과 곤약으로 만들었다고 하는데 콩고기 있잖아요. 그것과 비슷하구요. 훨씬 더 담백하고 맛이 좋더라구요. 요 디츠를 가지고 다소 칼로리가 높아 질수 있는 크로켓을 만들었어요. 칼로리 낮은 디츠가 고기역할을 해주고요. 두부와 야채가 듬뿍 들어가 칼로리는 낮고 영양은 만점인 크로켓이랍니다. 게다가 오븐에 구웠으니 정말 다이어트식으로 안성맞춤.,다이어트
연어계란샐러드,연어로 계란과 함께 샐러드를 만들어보았어요. 계란을 마들렌 실리콘틀에 쪄서 훈제연어와 야채를 함께 담아내니 모양도 이쁘고 연어와 샐러드채소랑 잘 어울리네요. ,다이어트
연두부샐러드,칼로리도 낮고 건강에 좋은 콩의 영양과 섬유질의 보고  한천으로 만든 연두부 손님상 식전요리로도 괜찮고 야식이나 간식으로도 좋은 아이템인것 같네요.,다이어트
딸기견과류샐러드,그윽한 딸기향이 듬뿍 들어간 딸기견과류샐러드를 만들어보았어요. 보통 샐러드는 순수하게 야채나 과일만 가지고 만들어도 손색없지만  동물성 재료 등을 적절히 섞어 한 끼 식사로도 괜찮은 샐러드도 있지요.,다이어트
닭가슴살샐러드,다이어트나 몸짱들이 가장 즐겨 먹는다는 닭가슴살이기도 하지만... 아삭아삭한 야채를 곁들여 톡~쏘는 겨자소스에 버무려먹음 .. 젓가락이 가요 젓가락이 가 닭가슴살 샐러드에 젓가락이 가..ㅋㅌ 닭가슴살 샐러드 물향기랑 만들어 보아요~,다이어트
사시미곤약쫄면,사시미곤약으로 쫄면처럼 비벼먹어봤어요. 사실 쫄면맛은 초장과 야채 그리고 쫄깃거리는 질감이잖아요. 사시미곤약도 똑같이 쫄깃거리면서 초장맛과 잘 어울리고요. 곤약이 섬유질덩어리이고 칼로리가 아주 낮다는 점이 너무 좋네요.,다이어트
닭가슴살비빔국수,국수랑 야채에 자칫 부족하기 쉬운 단백질은 닭가슴살로 슬림하게 보충을 해 주시고~~ 면의 쫄깃함과 야채의 아삭함~ 간장으로 양념을 해서 조금은 색다른 맛~~ 요런게 환상이 아닐런지요? 간장으로 비벼서 맵지않아 아이들이 좋아하는 국수이기도 하지요 야채는 집에 있는 짜투리 야채 쓰셔도 되구요 소고기  표고  오이 같은 재료 쓰시면 더 좋아요~~ 간장으로 비벼서 맵지않아 아이들이 좋아하는 국수이기도 하지요 야채는 집에 있는 짜투리 야채 쓰셔도 되구요 소고기  표고  오이 같은 재료 쓰시면 더 좋아요~~,다이어트
김치감자샐러드,감자와 마요네즈를 곁들여 샐러드를 만들어보았습니다. 김치와 야채를 아삭함과 감자와 마요네즈의 부드러움이 입안을 싸악 감싸는데 먹는 기쁨이 이런거구나 하고 느꼈답니다. 야채를 익히지 않아 아주 아삭아삭해요.,다이어트
카레보트,칼로리도 낮아서 다이어트에 정말 좋아요. 다이어트한다구 안먹구 그러지 마시구용. 이렇게 다이어트식품으로 맛있게 먹으면서 살빼세용.,다이어트
곤약초밥,칼로리는 낮지만 맛은 좋은 ~ 다이어트 곤약 초밥 레시피를 지금부터 올려 드릴게용 ~,다이어트
파스타샐러드,파스타 쿨 샐러드랍니다. 특히 소녀들에게는 최고의 파스타. 소녀들을 위한 파스타 쿨 샐러드 함께 만들어 보아요.,다이어트
양파물,몸에 좋은 양파물 전에는 쇼핑몰에서 주문해서 먹곤했는데 ~ 예전에 나온건 원액 그대로 나온 제품들이 많았는데 요즘은 양파즙에 한약재나 솔잎등 다른 제품을 첨가시켜 즙으로 나온상품들이 많더라고요. 먹기 수월하게 과일향도 좀 나는거 같곤한데~ 전 집에서 이리 만들어 먹어요 순수양파즙이라 좋고요. 또 무엇보다 간편하고 수월하고 제손으로 일일이 씻어서 만들다 보니 깨끗하기도 하고요 ~ 어디 파는거 이리 깨끗하게 손질해서 만들겠어요~ 조금 손이 가더라도 양파와 물만있음 되는 요리이니 댁에서 직접 만들어 드세요~ ,다이어트
검은콩국수,대표적인 여름 메뉴인 콩국수. 단백질이 풍부한 콩은 우리몸의 면역력을 높여주고 생기를 더해주지요. 맛도 담백하고 영양까지 풍부해 더운여름 별미랍니다.,다이어트
닭고기완자,닭가슴살로 다이어트에도 좋고 소화도 잘되는 완자를 만들어 봤어요. 옥수수가 들어가서 달작지근하고 단백해서 아이들 밥반찬이나 영양간식으로 좋을듯 합니다.,다이어트
야채피클,상큼한 야채피클을 만들어 봤어요. 저희집에서 늘상 자주 해먹는 요리인데 ~ 이래저래 냉장고에 야채 정리도 좀 할겸 만들었는데요. 요리초가 있어서 이런 야채피클 만드는게 무지 쉬워진거 같아요.,다이어트
닭가슴살파프리카샐러드,여름엔 무조건 간단하게 2탄  닭가슴살 파프리카 샐러드에요 약간 보랏빛이 도는 샐러드 군침이 마구마구 도시죠? 어떻게 보면 간단하지 않을수도 있는데 닭가슴살만 삶아 찢어놓으면 그리 어려운게 없기에 간단하다고 표현을 해봤어요 닭가슴살로 칼로리 낮추면서 육류를 즐기고 파프리카랑 야채를 넣어서 아삭하게 만든 샐러드 소스를 차갑게 해서 시원하게 즐기세요 닭가슴살도 찢어서 냉장고에 몇시간 두세요 그럼 냉채같은 샐러드를 즐기실수 있어요 ~,다이어트
닭가슴살샐러드,상큼하고 가볍게 즐기는 닭가슴살샐러드입니다~,다이어트
새우샐러드,다이어트 하시는 분들에게 좋은 저칼로리의 상큼한 이탈리안 드레싱으로 만든 새우샐러드~,다이어트
다시마야채쌈,건강에 좋은 다시마와 채소를 듬뿍넣은 건강한입요리 다시마쌈입니다.,다이어트
두부샐러드,아삭아삭 부드러운 생식두부샐러드~,다이어트
야채스프,냉장고 야채칸에서 시들어가는 야채를 몽땅 넣고 따듯한 수프를 한솥 끓여서 추위에 떨다 돌아온 울집가족들의 저녁식사와 아침식사로 먹었답니다. 야채의 비타민이 충분히 녹아있는 맛있는 수프였답니다. 야채와 함께 먹다보면 조금만 먹어도 배가 불러서 다이어트에도 좋은 수프입니다.,다이어트
키위양갱,비타민 덩어리 키위로 양갱을 만들었으니 칼로리 부담도 덜되고 참 좋은 간식이나 디저트가 될것 같아요.,다이어트
해초샐러드,하루사메라고 들어 보셨나요? 하루사메(はるさめ)는 우리말로 봄비라는 뜻인데요. 일본식 당면이라고 생각하시면 빠를것 같아요. 주로 녹두나 감자전분이 주성분인 하루사메는 칼로리도 낮고 깔끔해서 샤브샤브나 스키야키  국물요리나 각종 샐러드에 많이 사용한다고 해요. 미쯔칸 하루사메로 전 상큼한 하루사메 해초 샐러드를 만들어 보았어요. 드레싱도 만들 필요 없이 상큼한 미쯔칸 유자폰즈소스를 사용 했답니다.,다이어트
초코두부아이스크림,칼로리를 완전히 낮췄어요. 생크림  달걀  설탕 NO. 웰빙 다이어트 아이스크림이에요. 초코두부아이스크림입니다.,다이어트
곤약탕평채,구약나물의 알줄기로 만든 가공식품인 곤약을 포장제품을 이용해 만들어 보았어요. 식이섬유가 많고 칼로리가 거의 없는 다이어트식품이지요. 만든 곤약을 채 썰어서 청포묵 대신으로 이용해 탕평채를 해 보았는데 쫄깃하면서 시원하고 맛있었어요. 저 칼로리 식품에 야채등 다른재료를 첨가해서 일석이조인 건강 다이어트 요리가 되었네요.,다이어트
호박죽,다이어트식으로도~ 또 든든한 아침식사로도 제격인 호박죽~ 늙은호박  단호박등으로 맛있고 간편하게 만들어 드실수 있어요~,다이어트
두부,콩이 몸에 좋다는 건 누구나 아는 사실이죠? 저는 콩을 주로 밥지을 때 넣어 먹고 있는데요. 오늘은 대두콩을 불려서 살짝 삶아 믹서에 갈아 한천으로 굳혀 보았습니다. 일명 한천 두부에요. 여러가지 채소를 넣어 만들 수도 있구요. 한천의 섬유질과 두부의 영양을 골고루 섭취할 수 있는 좋은 방법인 것 같아요.,다이어트
부추강된장비빔밥,된장넣고 쓱쓱 강된장과 부추비빔밥입니다.,다이어트
토마토양상추샐러드,,다이어트
느타리버섯양념구이,,다이어트
바나나팬케이크,바나나를 넣어 더 달콤한 부드러운 팬케이크입니다.,다이어트
비빔메밀소바,아삭한 여름메뉴 비빔메밀소바와 매콤한 쯔유 입니다.,다이어트
닭가슴살야채말이,닭가슴살은 칼로리가 낮아서 다이어트에 좋다니까 야채랑 같이 드시면 다이어트식도 되고 모양이 이뻐서 손님 접대용으로도 괜찮을 것 같아요. 만드는 것도 간단하구요. 단 다이어트식으로 드시려면 치즈는 빼주시는게 좋을 것 같네요.,다이어트
통밀브레드,거칠지만 구수한 100% 통밀오트밀 브레드입니다.,다이어트
