MENU_NAME,DATA,Category
참치삼각김밥,맨날 편의점에서만 사먹는 삼각김밥~ 집에서 간편히 만들 수 있다는 사실~ 참치만 있으면 냉장고 열어서 만들 수 있어요~ 한끼식사로도 좋고 도시락으로도 좋은 참치삼각김밥을 만들어 보아요~,도시락
스팸샌드위치,보통 스팸은 그냥 구워서 밥에만 올려먹잖아요~ 하지만 샌드위치로 만들어 먹으면 더~ 맛있답니다~ 아주~ 간단하지만 폼나는 스팸 샌드위치~ 함께 만들어 보아요~,도시락
참치깻잎주먹밥,동글동글 모양도 이쁘고 색도 이쁜 도시락입니다~ 게다가 맛도 정말 좋아요~,도시락
새우볶음밥고로케,새우는 조금만 생각을 달리해도 정말 색다른 요리가 탄생하는 재료랍니다~ 이쁜 고로케 한번 만들어 보아요~,도시락
스팸쌈밥,스팸을 이용한 맛있는 쌈밥이예요~ 꼭 도시락이 아니더라도 아침에 간단하게 드시거나 입맛없을때 한끼 식사로도 너무 좋은 쌈밥이랍니다~,도시락
베이컨김치말이밥,오늘은 누구나 좋아하는 베이컨과 김치를 가지고 맛있는 베이컨김치말이밥을 만들어 보아용~ 아이들 소풍도시락에도 좋지만~ 아빠들이 더 좋아할 도시락이랍니다~,도시락
스팸오이식빵롤,스팸이랑 오이만 있으면 간단하게 만들 수 있어서 아이들과 함께 만들어 봐도 좋을거 같아요~ 간단히 도시락쌀때나 피크닉 기분을 내고 싶을때 아이들 간식으로도 좋아요~,도시락
카레새우삼각김밥,카레좋아하는 분들 많잖아요~ 근데 도시락으로 싸기에는 난감하잖아요~ 마땅히 데울때도 없고~ 이제는 그런 걱걱걱정하지 마세요~ 꽃날이 해냈습니다요~ 카레가 도시락속으로! 카레의 완벽한 변신! 카레새우삼각김밥~ 함께 만들어 보아요~,도시락
꼬마김밥,김밥 하나당 재료 하나씩만 넣어서 크기를 확줄였답니다. 하지만 맛은 너무너무 좋다는거. 주말에 브런치로도 좋고 도시락으로도 아주 좋은 사색꼬마김밥 함께 만들어 보아용.,도시락
닭고기샌드위치,달달한 소스가 듬뿍 닭고기 바비큐 샌드위치,도시락
연어또띠아말이,연어는 오메가-3지방산이 풍부하고 몸에도 좋다고 합니다. 몸에 좋은 연어를 도띠아에 말아서 만든 연어 트위스터입니다.,도시락
유부초밥,요즘 물향기는 목감기루 일주일 넘게 병원을 다니네요~ㅡㅡ;; 강원도가 춥다고 누가 그랬는쥐.. 대구엔살을 파고드는 매서운 칼바람이 불더이다..ㅡㅡ 친정인 대구 댕겨오면서 감기란 눔을 달고 와서 온 몸두찌뿌둥~ 목소리두 잠겨 힘들어요~ 그럴땐 주부님들 밥두 귀찮아지고..이것저것 다 귀차니즘~ 그래서 유부초밥 좋아라 하는 울랑을 위해 후다닥 만들어 두고 챙겨먹으라 그러곤 이불속으로 쏘옥~ㅋㅌ,도시락
쌈밥,입맛은 없고 간단하게 먹고 싶을때 나들이용 도시락으로도 안성맞춤인 햄을 넣은 쌈밥을 간단하게 만들어 봤어요.,도시락
계라주먹밥,집에 있는 재료로 후다닥 만든 봄소풍 도시락 소개함돠~,도시락
스프링롤,아삭아삭 야채와 쫄깃 쫄깃 쌀국수가 듬뿍 든 오감만족 스프링롤 함께 만들어 봐요.,도시락
유부초밥,안녕하세요~ 지난 주말엔 산엘 다녀왔는데 그때 싸간 갈비맛 유부 초밥입니다;; 저희 집은 유부초밥이 유부맛으로 먹긴하지만 속에 든게 없었거든요. 그래서 다진고기에 양념해서 같이 넣어 만들어봤어요.,도시락
묵은지유부초밥,햄이나 고기종류가 들어가지 않아서 깔끔하고 개운한 맛이예요. 재료도 간단하고 만드는 시간도 오래 걸리지 않기 때문에 갑자기 소풍갈 계획이 생겼을때 후다닥 만들어 가져갈수 있는 도시락인것 같아요. 새콤달콤 감칠맛 나는 묵은지 유부초밥입니다.,도시락
삼각김밥볶음밥,요거는요 ~ 딸기가 며칠 전 < 저녁 > 때 쯤 장을 보러 나갔다가 ~ < 새벽 > 에 컴을 하면서 출출하면 먹을려구 ~ < 삼각김밥 > 하나를 사 가지고 온건대용 ~ 흐미 ~ 이 추운 < 계절 > 에 ~ 행여나 쉴까 봐서리 ~ 기냥 < 냉장고 > 에다가 저걸 넣어 두었답니당 ~ 그런데 이 놈의 것이 ~ < 냉장고 > 에 넣어 두었더니 ~ 완전 < 돌덩이 > 가 되버린 거에용 ~ 흑 ~ 이 배신자 ~ 아흑 ~~ 내가 널 월매나 맛나게 먹어 줄 수 있는디 ~ 아흑흑 그래서리 이 놈을 지금 달달 볶아 블라고용 !!,도시락
참치볼조림,그냥 먹어도 맛있지만 동글동글 볼로 만들어서 달콤매콤한 소스에 조린 맛난 도시락. 밥반찬으로 이것만 한것도 없지요. 함께 참치볼조림 도시락 만들어 보아요.,도시락
샌드위치,부드러운 포테이토샌드위치,도시락
새우주먹밥,하얀쌀밥이랑 새우를 넣어서 동글동글 맛있는 새우주먹밥을 만들어 보아요.,도시락
샌드위치,오리지널 클래식샌드위치,도시락
롤샌드위치,매콤한게 하나만 먹어도 든든! 핫포테토 롤샌드위치,도시락
훈제연어초밥,더운날 불 안쓰고 요리할 수 있는 고소한 훈제연어 초밥입니다. ,도시락
미트볼튀김,미트볼 속에 야채와 치즈가 쏘옥~ 맛있는 미트복 튀김입니다!,도시락
베이글샌드위치,식감좋은  내맘대로 베이글샌드위치,도시락
감자고로케,제철감자로 만드는 영양만점 노릇노릇 바삭바삭 맛있는 감자고로케~~,도시락
팝콘치킨,팝콘치킨인데용~~~ 앙증맞고.. 귀여운 치킨이랍니당~~ 허니머스터드에 찍어먹으니 환상적이더라구용..ㅎㅎ 넘 표현이 과했나요?? 히히~~ 이쁘게 재활용해서 만든 소품컵에 담으니... 더 맛있었던거 같기도 하고용...^0^,도시락
크림치즈스프링롤,크림치즈가 들어가 더욱 고소한 영양간식 크림치즈 스피링롤!,도시락
새우샌드위치,너무 푸짐해서 배불러요! 새우살 샌드위치!,도시락
사과빠스,추석명절 지나고나면 먹거리중 넘쳐나는게 과일일것입니다. 과일은 그냥 신선할때 먹는게 제일이지만 시들해진 과일을 먹어치울때나  새로운 맛을 즐기고 싶을때 달콤한 빠스 요리로 응용해 먹으면 좋습니다. 아이들 간식으로 안성맞춤입니다.,도시락
날치알주먹밥,날치알이 입에 톡톡 튀는 날치알 주먹밥 입니다. 날치알 주먹밥 속에는 마요네즈에 버무린 참치가 들어 있답니다.,도시락
닭봉콜라조림,튀기지 않아서 칼로리도 낮고 만들기 간편한 닭봉 콜라조림입니다. 쫀득쫀득하고 짭쪼름하고 달달하고 고소해서 간식이나 밥반찬으로 좋은 닭봉 조림은 손에들고 뜯어 먹기도 편해서 운동회나 소풍갈때 만들어 도시락에 싸주면 좋을것 같아요.,도시락
샌드위치, 때로는 산뜻하고 깔끔하게 기본 샌드위치~~ ,도시락
고구마샌드위치,한끼 식사로도 든든해~고구마 샌드위치,도시락
주먹밥,단풍이 멋지게든 가을날~ 나들이를 갈 때 식사를 밖에서 외식을 해도 편하겠지만  집에서 정성스럽게 도시락을 싸가지고 가면 건강에도 좋고 사랑과 정성이 듬뿍 들어있어 기분이 훨씬 좋아집니다. 차를 마시는 도자기 컵에 여러가지 야채와 밥  계란을 섞어 전자렌지에서 살짝 익혀봤어요. 아이들이 싫어하는 여러가지 재료들을 잘게 썰어 감쪽같이 먹일 수도 있고요. 김밥보다 훨씬 만들기가 간편하답니다. 속에 들어가는 재료들은 집에 있는 다른 재료들을 넣어 응용할 수 있어요. 김치를 잘게 다져 넣어도 새콤하니 개운할 것 같습니다. ,도시락
햄에그샌드위치,요리 책에서만 보았던 피타빵을 구했어요~~ 우선 손쉽게 해 먹을 수 있는 햄에그 샌드위치를 만들어 보았어요,도시락
곰돌이김밥,김밥도 예쁘고 색다르게 즐길수 있는 아이들도 좋아하는 곰돌이 모양의 김밥입니다.,도시락
소고기주먹밥,간단한 한 끼식사로 소고기주먹밥을 만들어봤어요. 짭쪼름하고 달콤한 소고기주먹밥은 아이들 간식이나 도시락으로 좋을 것 같아요.,도시락
참치호박잎쌈롤,담백한 참치 호박잎쌈 롤입니다.,도시락
새우김치쌈밥,,도시락
새우유부초밥,도시락메뉴로 좋은 유부초밥에 새우를 넣어 특별하게 만들어 보았어요.,도시락
치즈햄말이주먹밥,아이들이 좋아하는 후리가케 치즈&햄말이 주먹밥입니다.,도시락
계란말이밥,오늘은 야채주먹밥을 계란지단에 돌돌 말고  된장소스를 밥에 발라 된장구이꼬지밥을 만들었어요. 도시락을 위한 특별한 재료가 없어도 만들 수 있는 방법이에요. 생각보다 맛도 괜찮았어요.,도시락
밥도그,새벽에 일어나 도시락을 쌌어요. 오늘은 밥을 지을 때 찹쌀을 조금 넣었더니.. 주먹밥이 단단히 잘 뭉쳐지네요. 속에 소세지를 넣어 겉에는 밥을 붙이고.. 색색의 가루를 묻혀 '밥도그'를 만들었어요. 꼬지가 달려있어서 야외에 나갔을 때 하나씩 들고 먹기 좋을것 같아요. 단호박이랑 감자를 삶아 으깬 후  호도를 다져넣고 마요네즈  설탕을 넣어 잘 섞어 도시락 한 쪽에 같이 담았답니다. 도시락은 아무래도 조금 손이 많이 가서 시간이 조금 걸리네요.,도시락
충무김밥,엄지손꾸락 굵기로 만 김밥에 아삭아삭 씹히는 맛이 일품인 무김치... 짭쪼롬하게 간을 맞춘 주꾸미나 오징어  그리고 어묵을 양념에 버무린것이 입맛을 다시게 한답니다~ 봄나들이 계절에는 도시락으로도 인기가 좋은 충무김밥 함께 만들어 볼까요~^^,도시락
치즈미트롤,봄소풍  봄나들이 필수품 치즈미트롤 도시락입니다.,도시락
김치치즈주먹밥,오늘은 매콤한 김치주먹밥에 치즈띠를 둘러줘서 맛도 모양도 색다르게 드실수 있는 김치치즈주먹밥입니다.,도시락
김치소고기김밥,초간단하게 만들어 후다닥 싸서 떠날수 있는 맛난 김밥을 알려드릴께요~ 넘 간단해서 평상시에 집에서도 후다닥 만들어먹을수 있으니까 두루두루 활용하실수 있을거에요~^^ 어느 집에나 있는 김치와 고기한덩이만 있으면 해결할수있는 맛난 김치소고기김밥.. 함께 말아볼까요,도시락
야채주먹밥,나들이 도시락에 좋은 알록달록 야채 주먹밥입니다.,도시락
새싹롤샌드위치,돌돌돌 말아 한입에 쏘~옥 이쁜 모양에 아이들도 좋아하구 먹기도 편한 새싹 롤 샌드위치입니다.,도시락
치킨샌드위치,간식이나 도시락용으로 좋은 샌드위치를 올려봐요. 데리야끼에 푹 담겼다 나온 닭가슴살을 이용한 데리야끼 치킨 샌드위치입니다.,도시락
새우김밥,일본여행 프로그램에 자주 등장하는 양상추김밥(레터스 스시)을 만들어 봤어요,도시락
불고기김밥,즐거운 계획이 있는 분들을 위해 불고기 김밥을 올려봅니다.,도시락
꼬마김밥,한입에 쏙들어가 어린아이도 부담없이 즐기는 꼬마김밥입니다.,도시락
멸치주먹밥튀김,칼슝듬뿍 고소한 멸치가 들어가 맛도 좋고 영양만점인 멸치주먹밥 튀김입니다.,도시락
소세지야채볶음,간단하게 빠르게 소세지야채볶음. 나들이 도시락  봄소풍 도시락으로 빠르고 쉽게 만들어갈수있는 별미 반찬입니다. 나들이 음식으로 김밥이나 유부초밥? 샌드위치? 이런걸 만들어야하나? 번거롭게 장도 봐야하고 준비할 시간도 없고 걱정이네 하는 분들에게 추천합니다.,도시락
참치김밥,소풍이나 나들이 갈 때 도시락으로 좋을거 같아서 참치 김밥 올려봐용,도시락
돈까스샌드위치,돈까스가 들어서 더 든든한 - 돈까스 샌드위치 만들어볼게요,도시락
