MENU_NAME,DATA,Category
느타리버섯전,저희집 냉장고엔 언제나 한쪽 자리를 차지 하고 있는 각종 버섯류들~ 건강두 지키고 맛난 요리로두 해 먹고.. 평상시 만들수 있는 느타리 버섯전이예요.. 손님상에두 꽤 인기가좋아요... 버섯 싫어하는 아이들도 잘 먹드라구요~,명절
약밥, ,명절
월병,설날을 맞이하여 구운 월병 ^_^* 월병틀은 넘 비싸 살 엄두가 안나서  집에 있는 실리콘틀을 이용해서 만들어 보았어요.^_^,명절
잡채,명절음식에서 빼놓을 수 없는 잡채 참 맛있지요. 칼로리가 높아서 먹을때 걱정이 좀 되긴 하지만요. 잡채는 생각보다 복잡하지 않아요. 당면과 여러가지 칼라풀한 재료들을 기름에 달달 볶으면 끝이랍니다.,명절
동태전,명절때면 꼬옥 빠지지 않고 만드는게 바로 동태전이라지요,명절
해물동그랑땡,간단히 손질해 후다닥 부쳐먹는 해물 동그랑땡입니다. 해물의 풍미가 가득해 더욱 고소합니다.,명절
동그랑땡,추석이나 설날 차례상이나 제사상에 빠지지 않는 동그랑땡 입니다. 육전이라고 하기도 하고 똥그랑땡 이라고 된발음으로 불러야 제맛이 나는 전통 음식이지요. 동그랑땡을 동글동글 빚어서 지글지글 기름에 지져서 뜨거울 때 먹으면 밥반찬이나 술안주에 그만입니다.,명절
삼색약식,맛있게 만드셔서 추석명절에 차례상과 손님상에 올려 보세요,명절
약과,추석을 앞두고 우리나라 전통 한과인 약과를 만들어 봤어요. 차례를 지내고 추석 음식을 배부르게 먹고도 입가심으로 따듯한 녹차 한잔을 곁들인 달콤하고 쫀득한 약과의 유혹을 뿌리칠 수가 없지요.,명절
밤송편,추석이 다가왔어요~ 추석하면 떠오르는 밤!! 밤으로 송편소를 만들어서 맛도 있고 영양가도 높은 송편을 만들어보려고 해요~ 이번 추석 차례상에는 평범한 송편보다는 모양이 예뻐서 눈과 입이 모두 즐거운 송편을 만들어보는건 어떨까요?,명절
잡채,명절요리의 스테디셀러 잡채를 만들어보았어요.,명절
반건조오징어김치부침개,반건조오징어와 어묵을 넣어 씹는맛을 좋게한 매콤새콤 고소한 김치부침개예요.,명절
카레밥전,남은 음식을 활용한 레시피 두 개를 올려볼게요. 나물류는 금방 무쳐놓으면 맛있지만 시간이 지날수록 신선도가 떨어져 조금씩 남게 마련이에요. 이럴 때~ 나물밥전을 만들어보세요. 새로운 메뉴로 산뜻하고 맛있게 먹을 수 있답니다.,명절
떡만두국,며칠전에 빚은 만두로 오늘은 떡만두국을 끓여먹었어요~~ 내일 먹으려다가 워낙 식구들이 떡만두국을 좋아해서 미리 끓여먹었죠~ㅋㅋ 내일도 또 먹을 예정이구요~ㅋㅋ 이제 2008년도 얼마 남지 않았어요~ 3시간 정도면 2009년이 찾아오네요~~~ 우와~~시간 정말 빨리가는것 같아요~~ 이제 슬슬 나이먹는게 괴로워지니 ㅋㅋㅋ 돌아와요~내청춘~~ㅋㅋ이렇게 말하면 울신랑이 늘 하는말이 있죠! 퍽이나 많이 먹었다..네가 자기 나이만 되도 좋겠다...그래요.ㅋㅋ 자~~한살 더 먹기 위한 필수 코스!! 떡국을 먹으려면 맛나게 요리를 해야겠죠^^ 떡만두국을 만들어 보겠습니다~^^,명절
만쥬,명절이나 경사스러운날 만들어 선물하기 좋은 만쥬를 여러가지 모양으로 만들어 봤어요 토끼모양으로 만든 만쥬인데 오븐에 굽고나니 거대토끼가 되어 버렸어요~ㅎㅎ,명절
