MENU_NAME,DATA,Category
표고버섯탕수,탕수육 먹을때 칼로리때문에 걱정하시는 분들!! 이제는 걱걱걱 정하지 마세요~ 칼로리를 조금 낮추고 맛은 올리고 게다가 영양까지 듬뿍듬뿍 들어있는 표고버섯을 이용한 탕수!!! 바로 표고버섯탕수♥ 건표고와 냉장고에 남아있는 야채들을 이용해서 함께 만들어 보아요.,손님접대
갈릭치킨,요즘 갈릭이 대세인거 같아요~ 그래서 오늘은 제가 너무 좋아하는 닭과 마늘을 한번에!! 달콤한 마늘향이 가득한 갈릭치킨을 만들어 보았어요~,손님접대
로스트치킨,예전부터 해보고 싶었던 로스트치킨 > _ < 기름기가 쫙쫙쫙 빠져서 껍질을 바삭바삭 ~속은 촉촉 .. 넘 맛잇어요 *^^*,손님접대
찜닭,밖에서 사먹는것과 거의 흡사하게 맛이 나서 만족하면서 먹었어요. 달콤하면서도 끝맛이 매운맛이 돌아 개운한 맛의 찜닭입니다.,손님접대
단호박해물치즈구이,달콤한 단호박과 고소한 치즈  매콤화끈한 해물과 떡이 참 조화롭고 맛있어요. 한끼 식사로도  영양만점 간식으로도  술안주로도 손색없는 단호박 해물치즈구이입니다.,손님접대
갸토쇼콜라,갸토쇼콜라 레시피입니다. ,손님접대
찹스테이크,요즘처럼 파티가 많은 연말행사엔 요런 패밀리레스토랑 메뉴 따라잡기도 참 괜찮은것 같아요~ 생각보다 비교적 쉽고 간편해서 손님맞이용 파티용 메뉴로 정말 손색없는 메뉴 랍니다~ 물론 맛도 훌륭하구요~ 다가올 크리스마스엔 가족들과 오붓하게 찹스테이크 꼬치구이 괜찮겠죠?,손님접대
카레어묵전골,전골하면 다들 어려워 하시잖아요~ 근데 어묵이랑 시판장국을 이용해서 간단하고 맛있게 만드실수 있어요~ 아이들도 정말 좋아하는 카레어묵전골~ 함께 만들어 보아용~,손님접대
크림소스,홍합에 부드러운 크림소스 옷을 입혔어요~ 홍합이 제철인 요즘에 색다르게 즐겨보는 홍합요리 초대요리로도 손색없는 홍합크림소스♥,손님접대
조기매운탕,찬바람이 쌀쌀하게 불때면 더 땡기는 칼칼하고 시원한 국물~ 찌개나 국.탕 한가지만 있어두 밥 한그릇 그저 비울수 있는 우리 맛.. 참조기가 냉동고에 큼지막한 눔으로 두마리 들어 있네욤... 구워먹고 찜 해먹고 매운탕으로두 일품인 조기... 오늘은 얼큰하게 조기 매운탕... 매서운 바람에 기분 꿀꿀할땐 그저 매운게 땡겨욤..^^ 얼큰하게 조기 매운탕 함 끓여드셔보세요~,손님접대
탕수만두,얼마전 마트가서 1:1 행사로 구입한 부추물만두.. 제가 물만두 엄청스리 좋아한답니다.. 떡만두국두 끓여먹고 찜통에 쪄서두 먹꼬~ 오늘은 새콤달콤 탕수만두로 점심 당첨.... 냉장고 늘 있는 야채 짜투리들 모아모아 탕수만두 만들어욤~ 영쓰에 물만두로 탕수만두 만들기..시작합니다..,손님접대
볶음밥,오늘은 꽈리고추의 매콤함에 홀딱반해서 춘권피 볶음밥을 만들어 봤어요.,손님접대
메밀전병,절이나 잔치상 손님상에 강원도 상차림에서 빠지지않는 메밀전병.. 함께 만들어봐요~^^,손님접대
초콜렛,럼주 대신 깔루아를 넣어 향이 더 깊고 진한 쫀득 쫀득 사르르 녹아 버리는 아주 부드러운 초콜렛이예요.,손님접대
