MENU_NAME,DATA,Category
북어갈비,오늘은 집에서 굴러다니고 쉽게 구할 수 있는 북어로 일품요리를 만들어 보았어요! 도시락 반찬으로는 물론 초대요리에도 너무너무 좋은 요리랍니다~ 겉에 찹쌀가루를 묻혀서 맛도 고소해요~,술안주
뚝배기해물떡볶이,해물을 가득가득 넣은 떡볶이를 만들어 보아요~ 보통먹는 자잘한 떡볶이가 아니라 볶아 만드는 떡볶이랍니다~ 일명 안주용 떡볶이죠~ 맛있는 떡볶이 함께 만들어 보아요~,술안주
오코노미야키,술안주나 간식으로 쉽게 만들수 있는 일본요리 ,술안주
버팔로윙스,미국 뉴욕주 서부의 버펄로에서 유래 되었다는 버펄로윙스. 콜라겐이 많아 쫀득하고 매콤달콤해서 술안주로도  아이들 간식으로도  손님 접대용 요리로도 그만이라죠. 콜라겐이 주름살에 좋다고 하던데  많이 먹으면 눈가에 주름이 쫙쫙 펴질까요? 술안주와 손님 접대용으로는 매콤하게  아이들 간식으로는 핫소스를 조금 빼고 만들면 좋아요. 맥주안주로도 그만이구요. 특별한 상차림에 사이드메뉴로도 또는 메인메뉴로도 손색이 없을것 같아요.,술안주
쏘야볶음,호프집 맥주 안주로 인기만점인 철판 소세지 야채볶음을 올리려구요. 밥반찬으로도 맥주 안주로도 안성맞춤인 굴소스로 맛을 내는 초간단 소야볶음입니다.,술안주
어묵,예전에 한창 유행했던 빨간어묵~ 근데 어느새 조용히 사라지더라구요~ 옛추억을 맛보기 위해서 준비했어요~ 매콤한~ 빨간어묵!! 간식으로도 좋고 술안주로도 좋은 빨간어묵 만들어 보아용♥,술안주
닭발,응근히 매콤함이 땡기는 요즈음.. 지금 저희집은 봄맞이 집단장으로 매주마다 한쪽한쪽 부분 인테리어 공사중이랍니다.. 열심히 옆지기가 일하구 있는데 ..전 옆에서 잔심부름만 하죠~ㅋㅌ 피로 확~날려주고 기분 업 기켜줄겸 준비 한 매운 불닭발~ 예전엔 닭발루 해 먹었는데..뼈 발라 먹는 재미두 쏠쏠은 하지만 안주로는 좋은데 밥이랑 먹을려니 별루.. 닭발로만 파는줄 알고 여태 닭발만 구입했는데...에거 시장에 가서 닭발 사믄서 아줌마 한티 물어보니 뼈 발라 파는 닭발두 있드라는..ㅡㅡ;; 왜 여태 있을거란 생각을 안 했는쥐.. 기뿐 마음에 조금 비싸지만 3팩 (\5000)구입.. 스트레스 확~날려줄 불 닭발 만들어 먹어봐욤~,술안주
크림치즈딸기카나페,파티를 위한 초간단 럭셔리 메뉴크림치즈 딸기 카나페와 모듬 카나페입니다.,술안주
묵은지감자탕,지난해 담은 묵은지가 아직 김치냉장고에 보관되어 있는 우리집~ㅎ 이것저것 해 먹어도 맛난 묵은지.. 주말에 다시 한 솥 끓여 먹은 묵은지 감자탕.. 돼지 등뼈가 사골보다는 무지 착한 가격이라 종종 해 먹어요~ 주말에 온 가족이 모일때 미리 미리 준비해서 그득히 한상 올려보세요~ 묵은지 감자탕 집에서 물향기랑 함께 끓여보아요~,술안주
홍합탕,강원도 원주에는 월욜 밤새 눈이 엄청 내려 이른아침까지 눈이 소복소복.. 제가 강원도 원주로 이사 한 지 3년차인데.. 지내는동안 원주에서 본 최고에 눈이였어요~ㅎ 마지막 겨울을 마무리 하는 눈인지 대설주의보까지 내려지고.. 눈이 많이 오고 이럴때 스키장 댕겨오믄 좋으련만.. 요즘 집안일이 많아 정신없어 나들이 갈 신세두 아니고.. 옥상에서 수북히 쌓인 눈에 발자욱 내고 새하얀 눈 맞으며 강아지 처럼 팔짝팔짝 뛰어봤답니다..ㅋㅌ 이런거 보믄 아직 저 유아틱하죠~ 에거 나이가 몇인데.. 비나 눈만 와두 센치 해 지고...^^ 화욜두 눈이 왕눈이 내려 시장보구 오는길 내내 즐거운 콧노래 부르고 왔답니다..^^ 추운날 땡기는 시원한 홍합국물~ 마침 홍합이 아직 있어 한소쿠리 구입~ 그냥 끓는물에 삶아 초장 찍어먹어두 너무 좋은데.. 이번엔 칼칼하게 먹고싶어 매운 홍고추 넣어 끓였더니.. 속두 확~풀리고 기분도 확~ 풀리고..너무 좋으네요~ 요즘 스트레스가 좀 쌓여 기분이 우울모드인데 얼큰한 홍합탕으로 우울 함 날려보세요~,술안주
오렌지닭봉구이,쌉싸름한 오렌지향 때문에 느끼하지 않았구요. 더군다나 오븐에 구워서 담백하구 맛있는 오렌지 닭봉구이입니다.,술안주
순대전골,냉동고에 지난번에 사골곰탕 끓여 얼려둔 사골육수... 요긴하게 여러가지 국물요리에 쓰고 한팩이 남아.. 봄비가 내린 후 잠시 쌀쌀한 오후.. 뜨끈한전골이 생각나게 하네요~ 마트 들려 이것저것 사다 눈에 띤..순대집.. 순대전골 해 먹으려고 3천원치 사들고 룰루랄라~집으로... 얼큰하고 뜨끈한 순대전골.. 한끼 해결하는데두 좋치만 술안주...쏘주 한잔 기가 막히죠~ 이슬이두 1병 추가... 집으로 오는 발걸음에 힘 무지 들어갔답니다..ㅋㅌ,술안주
닭매운탕,오랜만에 재래시장을 가 보니 생닭 값이 내렸네요~ 얼마전까지 재래시장에서도 생닭 한마리 6천원씩 하드라구요.. 마트가믄 더 쌀려나 해서 대형마트 가서두 7~8원대... 그래서 잠시동안 닭요리를 못해 먹었는데.. 오랜만에 닭 한마리 큰걸루 모셔왔어요.. 쫄깃하게 닭매운탕 해 먹을려고요~ㅎ 닭매운찜과 달리 국물을 더 많이 하는게 닭매운탕이랍니다.,술안주
