MENU_NAME,DATA,Category
뚝배기라면,누구나 쉽게 끓일 수 있는 라면에 제철을 맞은 싱싱한 굴과 김치를 넣어서 맛있는 라면을 끓여보아요.,야식
쫄면,뭐니뭐니해도 쫄면의 생명은 양념장인거 같아요. 아무리 재료가 맛있고 출중해도 양념장이 맛 없으면 무슨 맛으로 먹을까요? 제가 쫄면의 생명인 양념장 만들기 비법! 알려드릴테니 저와 함께 쫄깃하고 새콤달콤한 쫄면 만들어 보아요~,야식
파프리카스파게티,스파게티에 아삭함을~파프리카 스파게티,야식
비빔만두,이까슈마?? 좀 생소하시죠 이번에 새로나온 만두라 하네요 일반적인 만두와 같이 돼지고기나 돼지기름을 사용한 제품이 아니고 기본적으로 연육을 사용하고 한치를 갈아넣은 제품으로 아이들 간식이나 어른들의 밤참등으로 먹는 제품인데요 조리법도 그냥 렌지에 돌려 먹어도 되고 찜기에 쪄서 먹어도 되고 이처럼 기름에 튀겨서 바삭하게 즐겨도 되는 제품인데요 전 바삭하게 기름에 튀겨서 비빔만두식으로 요리해 봤네요.만드는 방법은 너무 간단해요 댁에 있는 야채 채썰어 준비해 주시고 이까슈마만 기름에 바삭하게 튀겨주시고 양념소스 만들어 내놓음 끝!~ 과정샷은 조금 길지만 너무너무 간단하고 맛있는지라 요리 초보님들에게 강추에요^^,야식
부대라면,오늘은 뜨끈한게 생각나긴한데 뭔가 거창하게 양념만들어 해먹긴 귀찮고 그냥 라면은 식상할때 만들어먹기 좋은 냉장고 재료들로 만든 잡탕  좋은 말로 부대라면입니다. 파  당근  버섯  양파  햄 등 집에 짜투리로 남은 것들을 모아서 만들었지요. 별미로 좋을듯해요~,야식
김치볶음라면,간식이나 야식으로 무쟈게 좋은 김치볶음라면입니다. 비빔면쪽이랑은 맛이 달라요. 김치가 들어가서 김치 특유의 맛으로 새콤매콤하죠. 신김치 있으시면 김치 볶음밥 해먹다가 색다른게 먹고싶으면 만들어 보세요~,야식
고추장불고기볶음우동,매콤하게 즐기는 고추장 불고기 볶음우동입니다.,야식
돼지고기볶음우동,매콤하고 쫄깃한 매운 돼지고기 볶음 우동입니다.,야식
치즈비엔나떡볶이,매콤한 떡볶이에 치즈 맛나게 올려서 오븐 비엔나 떡볶이 만든거 올려봐요. 갠적으로 비엔나가 떡볶이에 들어가면 참 맛나드라능,야식
김치어묵꼬치,하여간 직장 다닐 때 야식으로 직장 근처 시장에서 먹던 김치와 콩나물이 들어가 시원한 꼬치어묵이 생각나서 만들어 봤어요. 대구에선 그냥 양념오뎅 또는 김치양념오뎅이라고 하는데 다른 지방에선 뭐라 하는지 모르겠네요. 그래서 제맘대로 김치어묵꼬치탕이라고 해봤어요. 그게 생각이 나서 만들어 봤는데 역시 기대를 저버리지 않는 얼큰하고 시원한 국물맛이 좋네요. 저는 술을 잘 안하지만 해장으로도 좋을 것 같아요. 울 신랑 요것 해줬더니 국물까지 말끔하게 다 먹고 더 없냐고 그러네요. 참고로 한 솥 가득의 양을 둘이서 다 먹었어요. 날씨도 쌀쌀한데 이웃님들도 얼큰한 김치어묵꼬치탕 어떠세요?,야식
떡볶이,쫄깃하고 매콤한 떡볶이입니다.,야식
볶음우동,며칠 전 밥먹기 싫어서 저녁 조금만 먹고 신랑 오고나서 야식으로 즐겼던 볶음우동이에요. 신랑이나 저나 면종류를 워낙 좋아해서 야식으로 자주 면을 먹게 되는데 매일 똑같이 라면이나 국수를 먹을 수는 없잖아요. 그래서 이번엔 볶음우동을 만들었답니다. 보통 볶음우동하면 일본식을 많이 생각하실텐데요. 제가 사는 대구에선 야끼우동이라고 해서 중국집에서 판답니다.,야식
김치우동,기온은 별로 안낮은데 날씨가 흐린게 은근히 쌀쌀하네요. 그래서 신랑 야식으로 얼큰한 김치우동을 준비했답니다. 추운 겨울날 바깥에서 돌아오면 얼큰하고 따끈한 국물만큼 좋은게 없잖아요. 그래서 김치우동을 만들어 줬더니 국물 한 방울도 안남기고 말끔이 비웠네요. 쌀쌀한 겨울밤 야식으로 얼큰한 김치우동 어떠세요?,야식
김치우동,기온은 별로 안낮은데 날씨가 흐린게 은근히 쌀쌀하네요. 그래서 신랑 야식으로 얼큰한 김치우동을 준비했답니다. 추운 겨울날 바깥에서 돌아오면 얼큰하고 따끈한 국물만큼 좋은게 없잖아요. 그래서 김치우동을 만들어 줬더니 국물 한 방울도 안남기고 말끔이 비웠네요. 쌀쌀한 겨울밤 야식으로 얼큰한 김치우동 어떠세요?,야식
매운떡볶이,매콤하게 만든 고추장양념에 청양고추 송송썰어 볶아먹으면 둘이 먹다가 하나죽어도 모를  .온국민이 모두 사랑하는 떡볶이가 되는거죠~,야식
김치비빔국수,매콤한 김치비빔국수입니다.,야식
콩나물해장라면,야식으로 먹었던 콩나물 라면이에요. 면에 콩나물 하나 넣은 것 뿐인데 기름기도 적어지고 국물 맛이 아주 시원해진답니다.,야식
비빔만두,매콤한 초고추장에 버무린 야채와 바삭바삭 군만두의 환상적인 조화~! 손님초대메뉴로도 가끔 만들어 내는데 역시나 누구에게나 인기좋은 메뉴랍니다. 재료도 간단하고 후다닥 금방 만들어낼수 있어서 주말점심메뉴나 갑자기 출출할 때 야식으로도 가끔먹는 비빔만두를 소개해드릴께요~,야식
쫄우동,뜨끈한 멸치육수와 쫄깃한 면이 환상 궁합인 쫄우동입니다. 학창시절 학교 앞 분식점에서 먹던 그 쫄우동맛은 아니지만 옛추억을 떠올리면서 먹으니 좋더군요~,야식
해물짬뽕우동,얼큰~~한 국물이 끝내주는 짬뽕입니다.,야식
라볶이,매콤 쫄깃한게 아주 입맛을 당기는 매콤한 라볶이입니다.,야식
김치비빔국수,매콤한게 땡겨서 오랜만에 김치 비빔국수 한그릇 후다닥 비벼먹었어요. 잘익은 김장김치만 있으면 다른야채 필요없고 몇가지 양념으로 감칠맛나는 매운맛을 즐길수있어요.,야식
소세지야채비빔우동,소세지야채 비빔우동입니다.,야식
볶음밥김말이튀김,오늘은 저희 아파트 공터에 장이 열리는 날인데~ 떡볶이 아저씨가 오셨네요. 지나가다 슬쩍 보니 바삭하게 튀겨진 김말이가 너무 맛있어 보여서 냉큼 집으로 들어와 당면말고 볶음밥으로 한번 만들어 봤어요. 음~생각보다 맛이 괜찮네요.,야식
소고기버섯국수,국물이 진하고  모든 재료들이 맛이 배어서 참 맛있는 소고기 버섯국수입니다.,야식
어묵국수,야식으로 좋은 어묵국수입니다.,야식
교촌치킨,진짜 교촌치킨보다 더 교촌치킨같은 엄마표 양념치킨,야식
비빔어묵당면,부산의 국제시장에 가면 이렇게 비빔당면을 파는데 그 시장에 가면 꼭 먹어야 하는 음식 중의 하나이지요. 저도 먹어보고  그 맛이 생각나고 그리워서 이렇게 만들어 보았는데 나름 맛있고  색다른 당면요리를 즐길수 있어서 아주 좋아요.,야식
고구마경단,식이섬유가 풍부해서 변비해방에 좋고 검은깨 역시 건강에 좋으니 영양만점 야식이라 할 수 있는 고구마 경단입니다. ,야식
두부김치,밤참으로도 좋고 안주로도 좋은 두부 김치 만들기입니다.,야식
허니피자,달콤한 허니피자~~~노륵하게 녹은 치즈 위로 달콤한 올리고당이 좌르륵~~~ 고소함  달콤함  쫀득함이 완전 환상의 조화를 이루네요. 그럼  과정샷 들어갑니다.,야식
깐풍만두,간식이나 야식으로 좋은 매콤한 깐풍만두입니다.,야식
닭가슴살조림,파인애플이 들어가서 새콤달콤하고 맛있는 닭가슴살 조림입니다. ,야식
아삭이고추,맵지않고 아삭한 고추를 반을 갈라서 씨름 빼고 야채를 볶아서 채워넣었더니 학원 다녀온 아이의 야식으로 아주 좋답니다.,야식
중국식만두,중국식 왕만두입니다. ,야식
사과국수,밥 생각은 없고.. 매콤한 비빔국수가 먹고 싶었는데..아직 위에 부담이 될것같아 상황상..뜨끈한 국물을 선택했지요..,야식
김치비빔국수,야식으로 라면 대신 만들어 드세요~ 간단히 만들어 먹는 김치비빔국수 소개합니다.,야식
닭가슴살라면,닭가슴살 새송이버섯만 있으면 스프 없이도 담백하면서 입에 짝 붙는 맛있는 라면을 끓일 수 있어요.,야식
어묵떡볶이,순식간에 만드는 매콤 쫄깃한 떡볶이입니다.,야식
간장치킨,치킨집에서 먹던 맛 그대로~ 윤기가 자르르 흐르는 먹음직스러운 순살간장치킨!,야식
골뱅이비빔라면,출출한 배와 심심한 입 덕분에 맛있고 매콤한 골뱅이 비빔라면,야식
채소된장라면,냉장고속 남은 채소들과 된장을 넣고 끓인 시원하고 구수한 채소된장라면   어린이와 어른들이 모두 좋아할만한 라면으로 집에서도 만들기 쉬운 라면입니다.,야식
비빔국수,화끈하게 땡기는 날 간단하게 만들어 먹기 좋은 아주 매콤한 맛의 비빔국수에요.,야식
