MENU_NAME,DATA,Category
호두가래떡구이,손님대접에도 좋고 아이들에게도 좋은 호두 가래떡구이입니다.,영양식
굴무밥,바다의 우유 ..굴 굴은 남성뿐만 아니라 여성에게도 아주 좋습니다. 굴에는 칼슘  철분이 많아 빈혈과 골다공증 예방에도 도움이 됩니다. 배 타는 어부의 딸은 얼굴이 까맣고 굴 따는 어부의 딸은 피부가 하얗다. 하는 우리 속담처럼 피부에도 좋답니다. 과거 남성과 여성을 대표하는 수식어가 '과묵'과 '정조'였으니 남성을 더욱 남성답게  여성을 더욱 여성스럽게 해주는 굴을 사나이와 여인에 비우한 것입니다...^^ 겨울에 제맛인 굴 ... 소화력 좋은 무와 굴을 한번에 .. 영양식 굴 무밥 만들기 들어갑니다..,영양식
굴무밥,항상 제철음식이 맛도 좋고 건강에도 좋잖아요. 무와 굴 이거 바로 겨울철이 제철이랍니다. 무도 겨울에 달큰하니 더 맛있구요. 굴도 겨울에 싱싱하니 제철이고요. 굴과 무를 섞어 냄비에서 굴무밥을 지었어요.,영양식
시래기들깨탕,구수한 시골의 맛  사골 시래기 들깨탕,영양식
소고기연근전,,영양식
전복죽,한그릇만 먹어도 원기회복이 된다능 구수하고 담백한 전복죽이에요. 기운 없을때나 원기회복이 필요할때 간단히 만들어보세요. 정말 한그릇만 먹어도 기운이 솟아난답니다.,영양식
뼈다귀감자탕,기운 없을 때나 몸보신 할 때 정말 좋은 시래기나 우거지 등을 넣어서 끓인 뼈다귀 감자탕. 뼈다귀 감자탕은 돼지등뼈의 잡냄새만 깨끗이 제거해 주면 집에서도 밖에서 사먹는거 못지 않은 감자탕을 만드실 수 있답니다.,영양식
돼지고기보쌈,요즘 식육점엔 돼지고기가 불티난답니다.. 오랜만에 돼지고기 섭취~ 봄이면 찾아오는 황사두 말끔히 씻어 내릴겸.. 지난 번에 캐 온 자연산 달래가 많이 남아 샐러드채소랑 함께 무쳐 한 쌈 준비 했답니다..^^ 돼지고기 보쌈이 오늘에 특식!!!!!!!,영양식
떡갈비,요리카페 동생이 놀러와 대뜸 요리가이드 보더니 떡갈비 해 달라고 조릅니다..ㅡㅡ 마침 냉동실에 갈아 둔 소고기가 있어 갈은 소고기을 이용한 떡갈비 만들기 들어갑니다. 물향기의 행복한 밥상~ 밥반찬으로 손님접대용으로 술안주로 좋은 떡갈비 만들기~,영양식
단호박찜,달콤하고 부드러운 단호박속에 영양 가득한 콩배기와 밤을 넣고 단호박 찹쌀떡을 만들어 봤어요. 보드러운 단호박과 쫀득한 찹살떡을 함께 먹을 수 있어서 아이들 간식이나 소화기능이 약하신 어른신들 식사대용으로 좋을것 같아요.,영양식
연포탕,오늘도 딸기가용 ~ 딸기 서방님을 위하여 ~ 몸에 좋은 낙지로 ~ < 연포탕 > 을 끓여 보았어용 ~ 요즘 < 가을 낙지 > 가 정말 맛있답니당 ~,영양식
굴전,요 사진은용 ~ 오늘 아침에 딸기가 만든 요리 인대용 ~ 요즘 < 굴 > 이 많이 나오 잖아용 ~ 그래서 ~ < 굴 > 을 이용한 < 전 > 을 부쳐 보았답니당 ~ 만들기도 열라 쉽고 ~ 뽀대도 남시롱 ~ 아무튼 맛도 좋아용 ~ 캬캬캬,영양식
연근전,밤새 비가 내리더니 제법 싸늘한 아침을 맞이 했네요~ 여름 냄새가 물씬 나야할텐데..비가 자주 내리는걸요~ 비오면 지글지글 부침개 생각이 절로~^^ 겨울엔 따뜻한 아랫목에서 여름엔 대청마루에서 앉아 엄마가 부쳐주시던 부추전에 김치전.배추전.. 손으로 쭉쭉 찢어 먹던 생각이 나요~ 비두 오고...그럼 지글지글...부침개 만들어 먹어야죠~ㅋㅌ 오늘 준비한 레시피는 언젠가 배우게 된 녹말이 풍부한 연근으로 만든 연근전입니다.. 아토피성 피부염에두 좋아요~ 간단한 레시피라 이웃님들도 금방 따라 하실수 있어요~,영양식
닭개장,요 포스트는용 ~ 며칠 전에 딸기 < 서방님 > 께서 ~ 얼큰한 < 국물 > 이 먹고 싶다구 하셔서 ~ 딸기가 만들어 본 < 닭개장 > 인대용 ~ 정말 얼큰한게 열라 맛있답니당 ~ 헤헤헤 그럼 지금부터 한번 만들어 볼게용 ~ ★,영양식
갈비탕,사랑하는 엄마를 위한 음식  갈비탕,영양식
삼계탕,생닭을 손질해 집에서 집에서 끓여낸 홈메이드 삼계탕이예요. 찰진 찹쌀의 맛과 몸에 좋은 재료를 푹 우려내  보양식이 따로 없어요. ,영양식
삼치데리야끼,얼마전 동생이 어부현종님에게서 받은 싱싱한 해산물과 생선들.. 나눠 먹어야한다고 몇종류를 주드라구요~ 싱싱한 해산물은 숯불구이루 후다닥 먹고.. 삼치는 노릇하게 구워 밥반찬으로 먹고 1/2마리가 남았네요~ 비린내두 적고..두툼한 삼치살.. 장어구이가 생각 나던 차에.. 삼치로 장어구이맛을 냈답니다..^^ 물향기랑 삼치 데리야끼 만들어 보아요~ 데리야끼소스 그리 어렵지 않답니다..,영양식
매실,올해두 어김없이 매실이 풍년~ 저희집은 친정이 포황서 토종매실 농장을 하구 있어 믿을수 있는 매실이랍니다.. 올해는 가격두 저렴하게 이웃님들께 보내드렸네요~ 일반 시중에 파는 매실보다는 열매가 작긴 하지만 순 토종이라 달고 엑기스도 많이 나오는장점이 있어요~ 집에서 10kg를 부쳐주셔서 매실엑기스 담그는 방법 올려드릴께요~,영양식
오징어백숙,오늘은 초복이에요~ 초복엔 뭐니뭐니해도 삼계탕이 최고죠~^^ 우리집 분들께서는 열이 많으셔서 인삼은 넣지 않고 대신 오징어를 넣어 오징어 영양 백숙을 준비해봤어요.,영양식
닭가슴살군고구마샐러드,웰빙 식재료인 달콤한 고구마와 닭가슴살의 만남~~ 오늘은 영양만점 두 재료를 가지고 샐러드를 만들어 볼까해요~ 요 고구마도 며칠전 시어머니께서 싸주셨던 고구마랍니당~ 고구마는 찐것을 이용해도 되지만 저는 구워놓은 고구마를 이용했어요~ 군고구마 향이 더해져서 더욱 맛있더라구요,영양식
전복죽,전복죽을 만들어 먹었슴돠.. 따끈하고 구수하니~~ 정말 맛나더라구용~~ 요즘 많이 먹은것두 없는데 소화가 잘 안되서 고생하는뎅.. 죽을 먹으니 한결 나아졌습니당..^0^ 여름엔 뭐니뭐니해도 몸보신을 해야하는데... 전복죽~~ 어떠신감요??^0^ 저와 함께 구수한 전복죽으로 몸보신해보아용~,영양식
전복죽,더운날씨에 힘이 불끈 _아라! 전복 내장향이 향긋하게 솔솔~ 전복죽!,영양식
삼계탕,,영양식
장어탕,지난 주말에 마트가서 장어를 사가지고 왔습니다 힘!! 하면 장어 만한게 없다구 ~~ 그 장어로 장어탕을 만들어봤습니다,영양식
장어구이,,영양식
더덕고추장무침,더덕을 고추장양념에 조근조근 무쳐낸 더덕 고추장무침이에요.,영양식
안동찜닭,부드러운 닭고기와 매콤달콤한 양념이 들어간 안동찜닭입니다.,영양식
잣죽,영양 가득~! 고소한 잣죽 레시피를 소개합니다.,영양식
알밥,날치알이 입안에서 톡톡터지는 고소한 알밥입니다.,영양식
참치야채죽,안녕하세요~~ 날도 많이 추워지고... 가을은 어디로가고 바로 겨울이 오고 있는 기분입니다;; 저는 입맛이 없을때가 잘 없지만서도(;;;;) 입맛있을때도 좋지만 없을때도 색다른 별미가 될만한 참치채소죽을 만들어봤어요~ 죽은 첨 끓여봐설 아키라님 레시피 보고 해봤답니다~,영양식
달래콩나물밥,쌀과 콩나물을 함께 넣고 지으면 콩나물이 좀 질겨지는 것 같아 콩나물을 따로 살캉하게 데쳐서 찬 물에 씻은 후 달래와 함께 살짝 무쳐서 함께 담았더니 아삭아삭하니 좋네요. 달래향도 상큼하니 봄향기가 솔솔 나는 것 같아요.,영양식
수삼꿀절임,아침 공복시 또는 음주 전.후에 복용하면 숙취해소 뿐만아니라 건강증진에 활력소가 되는 수삼꿀절임이랍니다. 수삼이 좀 들어오는 바람에... 꿀 사와서 다 절임해버렸다는.. 뭐.. -.-; 너무 별거 없어.. 그냥 뚝딱 ~ 만들어버렸어요.. ^^;,영양식
양송이버섯덮밥,환절기에 면역력을 키워주는 양송이버섯덮밥입니다.,영양식
더덕구이,더덕은 강장제로도 효과적이고 폐와 신장.비장.위장등을 튼튼하게 해준답니다. 더덕이 또 물 먹고 체한데는 특효랍니다. 더덕은 지금 가을이 제철이고 뿌리가 희고 굵으며 곧게 뻗은것일수록 영양이 풍부하고 약효도 좋답니다.. 우리 더덕 많이 드셔욤~더덕구이는 씹을수록 특유의 향이 입안 가득.. 입맛을 돋우는 반찬이랍니다. 산사 근처 한정식집 같은곳에서 먹어보곤 했는데 마침 저렴하게 마트에 횡성더덕이 나와 집에서두 더덕구이 맛을 즐겨봤어욤~,영양식
