MENU_NAME,DATA,Category
두부야채죽,아침식사로 좋은 영양만점 두부 야채죽입니다.,이유식
맛밤롤빵,김경희님의 저서 [계량컵 하나로 후다닥 홈베이킹]의 빵 기본반죽을 따라해보기로 하고 시작을 했는데요.. 정신을 어디다 두고 사는지 평소 빵만드는 법처럼 되버렸네요^^;;,이유식
어묵,생선살을 갈아서 만든 홈메이드 어묵입니다. 파프리카를 다져서 넣어서 색도 예쁘고 첨가물이 없어서 아가들 이유식이나 다이어트에 적극 추천합니다.,이유식
어묵파프리카볶음,국민반찬 어묵볶음에 파프리카를 넣어 만들었어요.,이유식
가래떡꼬치,안주로 좋은 가래떡 모듬꼬치입니다.,이유식
시금치불고기샌드위치,시금치 한우 불고기 샌드위치,이유식
황태구이,황태는 얼어 붙어서 더덕처럼 마른 북어라 하여 더덕북어라고도 한다고해요~ 한 겨울철에 명태를 일교차가 큰 덕장에 걸어 영하 10도이하의 차가운 바람을 맞으며 얼고 녹기를 스무번 이상 반복해서 4개월간 말린 명태를 말한답니다!! 단백질이 60%를 차지하고 있는 고단백 식품이죠~~ 빛이 누렇고 살이 연하고 부드러우며 쫄깃하고 포근포근한 육질이 시감을 좋게하고 일반 북어에 비해 깊은 맛이 있지요~ 황태는 해독작용이 뛰어나서 숙취해소와 간장해독  노폐물제거 등의 효능을 갖고 있어 술마신 다음날 황태국 한그릇이면 속을 시원하게 만들어주죠~~ㅋㅋ 신랑이 황태포구이를 참 좋아하는데 이상하게 잘 않사게 되는 건어물중 하나랄까요!,이유식
쇠고기야채죽,잡곡에 여러가지 재료들을 섞어 맛있게 만들어 보았어요~ 아기 이유식 잡곡 쇠고기 야채 죽입니다!,이유식
호두밤미음,매번 야채  두부  고기류를 넣어 이유식을 만들어 주는데 가끔은 다른 재료를 넣어 먹거리를 더 다양하게 먹이려고 노력해 봅니다.,이유식
호박당근미음,이유식을 처음 하게 되면 아이가 얼마나 잘 먹을지 걱정반 기대반 하게 되는데요~ 다행히 잘 먹어주면 야채 하나씩 늘려 가면 되더라구요.,이유식
고구마미음,이유식을 쌀미음만 계속 하다가 야채 하나씩 넣어 주기 시작했답니다. 물을 많이 먹지 않아 그런지 이유식 시작하면서 변비가 조금 있는것 같아 변비에 좋은 고구마를 살짝 넣어 만들어 봤어요~,이유식
쿠키,오늘은 친구 아기들 줄려고 베베쿠키를 만들었어요. 8개월에 접어들어 조금씩 과자를 먹더라구요. 7개월부터 먹을수있다고 하는데 조금 오독한 식감이라 8개월부터 먹는게 좋을꺼같더라구요.,이유식
단호박타락죽,간단하지만 속이 든든해지는 단호박 타락죽 만들기 입니다.,이유식
카스피해유산균,카스피해 유산균 종균 가루 배양하기,이유식
고구마퓨레,8개월 조카를 위한 이유식  귀여운 조카를 위해 만들어 보았답니다.,이유식
닭가슴살부침,닭가슴살을 간단하게 계란을 넣어 부쳐보았어요.,이유식
멸치볶음,혈당이 낮아 건강에도 좋고 맛도 좋은 달콤한 멸치볶음입니다.,이유식
치즈새우찹쌀죽,피로가 겹쳐서 몸이 피곤하면 입맛도 피곤해 하지요. 칼슘과 바다가 만나서 맛도 좋고 소화도 잘되는 죽~! 출출할때나 아가들 이유식으로도 좋은 치즈 새우 찹쌀죽을 끓였어요..,이유식
감자치즈볼,안심하고 먹을수 있는 엄마표 간식. 맛이며 크기 또한 아기가 먹기 좋게 만든 감자치즈볼입니다.,이유식
후리가케,엄마가 직접 화학조미료  원산지 걱정 없이 만드는 '홈메이드 후리가케' 꼭 한번 만들어 보세요.,이유식
쌀미음,아이 이유식으로 좋은 담백한 쌀미음입니다.,이유식
