MENU_NAME,DATA,Category
바질페스토,노심초사 애지중지 키웠던 바질. 직접 키운 신선한 바질로 바질 페스토를 만들어 보았어요. 향긋함이 그대로 살아있는 바질 페스토입니다.,초스피드
칠리참치롤,생각보다 맛도 참 괜찮구요. 만들기 간단해서 너무 좋습니다. 초간단 칠리 참치롤입니다.,초스피드
감자핫케익,도저히 밥할 기운이 나지 않아 후다닥 만든 감자핫케익입니다.,초스피드
콘샐러드,엄마가 밥도 안 차려주고 밥차려먹기 귀찮을때 자주 해먹는 저의 베스트 메뉴♥ 스팸밥입니다요~ 오직 필요한거는 뭐?? 스팸과 따끈한 밥!! 그리고 5분!! 5분이면 뚝딱 만들어 내는 스팸밥_ 특별히 이웃분들께 보여드리는 것이기 때문에 약간의 시간을 더 들여보았죠!! 콘샐러드와 함께 만들어 보아요~,초스피드
레몬에이드,톡 쏘는 레몬에이드 집에서 만들어볼게요~,초스피드
두유마요네즈,쉽고 간단하고 놀라운 맛의 바질 두유마요네즈  함께 만들어 봐요.,초스피드
배샐러드,배를 가지고 어떻게 요리를 해볼까 고민하다가 샐러드를 만들었지요.,초스피드
배추쌈,아삭한 배추와 무생채 그리고 담백한 참치가 어우러진 간단 요리 배추쌈입니다. 다이어트 요리로도 좋고 밥반찬으로도 좋아요.,초스피드
브로콜리볶음,브로콜리는 슈퍼푸드로 잘 알려져있죠~ 특히 여성에게 참 좋은 식품이에요~~대부분 스파게티에 넣어먹거나 데쳐서 초장을 찍어먹잖아요~ 이렇게 볶아서 먹어도 참 맛있답니다~,초스피드
사과쨈,전자레인지를 이용해서 간단하고 빠르게 사과쨈을 만들어 봤어요. 첨가물이 들어가지 않아서 안심하고 먹을 수 있고  무엇보다 설탕양을 줄일 수 있어서 시판쨈보다 덜달아서 저는 집에서 쨈을 만들어 먹는답니다.,초스피드
소시지야채볶음,뽕이 이번엔 간단하게 후다닥 ~만들 수 있는 요리들로 데리고 왔어용. 국민반찬~쏘야~!와 두부조림!! 쏘시지야채볶음이긴 한데 일반적으로 케첩을 넣잖아요? 이번에 만들땐 케첩은 안넣고 고추장과 돈가스소스 간장을 써서 만들었구요. 두부조림도 빨간 두부조림이 아니라~ 간장조림인데 ~돈가스소스를 조금 넣어서 감칠맛을 더했습니다. 오늘은 돈가스소스가 테마네용 ㅎㅎ,초스피드
오징어볶음,밥 반찬 딱히 할껏도 없고 막막할때 있으시죠?! 시간은 없고 좀 근사한 반찬 해먹고 싶을때 있으시죠?! 이럴때!! 오징어 한마리 준비해서 7분안에 끝나는 스피드 오징어 볶음 만들어보세요. 스피드해서 기분좋은 오징어 볶음이랍니다.,초스피드
김치두부동그랑땡,고소한 두부에 새콤한 김치를 물들여 만들 동그랑땡이예요. 먹을때마다 두부의 담백함의 한번 반하고 김치의 아삭한 식감이 좋답니다. ,초스피드
조개젓갈,그야말로 밥도둑이 따로 엄는 조개젓갈임돠. 김 모락모락 올라오는 뜨끈한 밥에 얹어서 먹으니 완전 붸리 굿이네용. 다른 반찬 필요 엄쪄요. 역시 젓갈은 밥도둑 맞아요. 맞아! 그럼 이젠 조개젓갈 집에서 맛나게 담궈보세용.,초스피드
치즈김치볶음밥,동서양의 환상궁합 치즈김치볶음밥입니다.,초스피드
굴생채,굴이 여자를 위한 미용식품이란걸 아세요? 굴 중의 칼슘  비타민A&B등은 피로와 스트레스를 줄여주고. 변비를 막고 피부를 곱게한 작용을 한대요. 굴은 영양덩어리인가봐요. 한가지를 배웠으면 바로바로 실천에 옮겨야겠죠? 제가 좋아라하는 배와 함께 굴생채를 만들어 보았답니다.,초스피드
스크램블에그김치볶음밥,스크램블에그 솔솔 뿌린~ 김치볶음밥입니당~,초스피드
인절미,쫄깃 고소한 인절미입니다.,초스피드
쇠고기미역국,정성들여 푹 끓인 쇠고기 미역국입니다.,초스피드
카레볶음밥,카레 향이 솔솔 고소한 카레라이스 볶음밥입니다.,초스피드
잣죽,우유까지 넣어 더 고소한 아침밥으로 좋은 잣죽입니다.,초스피드
삼겹살김치볶음밥,매콤 고소한 삼겹살 김치볶음밥입니다.,초스피드
참치샌드위치,아침거르지마세요~ - 참치샌드위치,초스피드
간장비빔국수,,초스피드
계란야채부침,반찬 아이간식으로 좋은 도톰한 계란야채 부침입니다.,초스피드
샐러리무침,,초스피드
밀크티,홍차에 쌉싸름한 맛을 부드러운 우유가 감싸줘 달콤하고 향기로운 밀크티예요. 요즘같이 추운 겨울철 만들어 마시면 몸을 따뜻하게 만들어줘서 더욱 맛있고 좋답니다. 스콘이나 비스켓과 함께 곁들여 먹으면 더욱 맛있답니다. ,초스피드
애호박전,간단하고 고소한 애호박전입니다.,초스피드
비빔라면,매콤하지만 시원하게 - 비빔라면,초스피드
콘샐러드,콘샐러드 만드는거 생각보다 간단해요. 피망  양파  스위트콘만 있으면 초간단 콘샐러드 완성 입니다.,초스피드
