MENU_NAME,DATA,Category
북어국,뽀얗고 진한 국물의 맛으로 먹는 북어국입니다~,해장
소고기선지국,된장냄새가 구수한 소고기선지국이랍니다. 추운 겨울에 선지국 한 그릇만 있으면 김치랑 밥 한그릇 뚝딱할 수 있지요.,해장
굴어묵탕,집에서 어묵탕을 만들어 먹었는데요. 좀더 시원하라고 굴을 넣어 끓였는데~와웃 시원하게 목구멍으로 넘어가는게 옛날말로? 따봉이에요.,해장
굴콩나물국,속풀이에 그만인 굴 콩나물국을 준비했답니다. 맑게 끓인 국이라서 속에 자극적이지도 않고 담백하니 든든하고 해장국으로 그만이랍니다~,해장
오징어짬뽕라면,얼큰하게 한그릇 어때요? 오징어짬뽕라면~,해장
짬뽕,얼큰한 맛 보다는 시원하고 개운한 맛이 짬뽕~,해장
조개북어국,맵지 않고 시원한 맛으로 속을 보해주는 북어국은 아침용 숙취해소 음식으로 각광을 받고 있습니다. 과음한 다음날  보통의 북어국이 아닌 깔끔하면서 개운한 북어국으로 속을 달래보신다면 개운한 아침이 될 것입니다.,해장
황태묵국,일반 황태국과는 조금 다른게  두부 대신 묵이 들어 있어요. 묵 덕분인지 국물 맛이 조금 더 부드러워요.,해장
바지락칼국수,시원한 바지락 국물에 쫄깃한 면발이 만났다 맛있는 바지락 칼국수입니다.,해장
김치칼국수,칼칼하고 시원한 김치칼국수입니다.,해장
대구매운탕,제철 대구를 이용한 얼큰하고 시원한 대구매운탕을 끓여보았어요~,해장
부추굴국밥,얼큰하고 시원한 부추굴국밥입니다.,해장
어묵김치국,착한재료 만만한국~ 어묵김칫국 만들기! ,해장
황태해장국,시원한 속풀이 해장국으로 좋은 황태국입니다.,해장
전주콩나물국밥,얼큰하고 시원한 콩나물국밥입니다. 요 국밥 하나면 다른반찬이 필요없을정도로 아주 거뜬한 한끼식사가 된다죠~술마시고 난 다음날  혹은 점심에 마땅한 반찬이 없거나  입맛 없을때도 참 좋아요. ,해장
콩나물국,깔끔하고 시원한 콩나물국입니다.,해장
뼈해장국,뜨끈한 뚝배기 뼈다귀해장국 만들어 봤어요. 무작정 핏물부터 빼면서 인터넷 찾아봤는데 만드는법도 가지각색  그냥 제 마음대로 만들어봤답니다.,해장
황태죽,황태살이든 북어살이든 집에 냉동실에 있으면 한번 끓여보세요. 해장에 좋고 야채도 좀 다져넣으면 애들 건강식으로도 좋겠지요.,해장
김치칼국수,얼큰하고 쫄깃한 김치칼국수입니다.,해장
짬뽕,조미려가 들어가지 않아 깔끔하면서 개운한 뒷맛이 좋은 짬뽕입니다.,해장
무청시래기국,,해장
팽이버섯바지락국,시원한 바지락 맑은국으로 숙취 싸~악~ 날려 보내세요~,해장
콩나물황태국,시원한 국물이 환상적인 콩나물황태국입니다.,해장
장국,굴 넣은 맑은 장국이 개운하니 마시고 싶어서 당장 끓여먹었지요. 신선한 재료의 고유의 그 향과 맛을 그대로 살린 일본식 맑은 장국이랍니다.,해장
황태콩나물국,쫄깃쫄깃하고 국물맛이 시원한 황태 콩나물국으로 즐건 시간 가져보세요~~,해장
황태어묵탕,몸을 해독시켜주데 있어선 일등급인 황태를 넣고  무와 양배추 사이에서 태어난 콜라비를 넣고 어묵탕을 끓여보았습니다. 국물이 예술이네요. 요거 한 그릇 후루룩 마시면 보약국물 마시는거랑 다를 바 없어요. 밥 말아서 김치랑 먹으면.. 한 끼가 뚝딱 해결됩니당.,해장
황태국,황태국의 얼큰 시원한 국물이 참 좋네요.,해장
선지해장국,선지해장국을 집에서 끓여보겠습니다.,해장
북어국,개운하게 해장국으로도 안성맞춤인 북어국입니다. ,해장
선지해장국,선지해장국은 특유의 맛이 좋아서 조미료 없이도  맛있게 잘 끓여지는데요. 우리가족 모두가 좋아하는 선지해장국을 끓였답니다. 철분이 많이 들어있는 고단백식품으로도 아주 유명한 선지는 빈혈예방에도 좋고  식이섬유가 풍부한 우거지와 숙취해소에 좋은 콩나물이 들어가 봄철 영양보충하는데 아주 좋아요.,해장
버섯칼국수,얼큰하고 시원해 해장으로도 좋은 얼큰 매운 버섯 칼국수입니다. ,해장
된장시래기국,구수하니 개운한 해장할때 으뜸인 시래기국이랍니다.,해장
황태콩나물국,아침은 전날 술을 먹든 안먹든 시원한 해장국이 아무래도 최고인듯 해요. 제가 그렇듯이ㅎㅎ 황태넣고 푹 끓인 국물에 콩나물까지 넣으면  그 시원한 맛이 더 배가 되지요. ,해장
콩나물국,숙취해소에 좋은 개운하고 깔끔한 콩나물국입니다.,해장
대하달걀탕,주로 남성들이 더 많이 찾는 대하는 술안주로 최고이지만 속풀이 음식으로도 그만입니다. 왕새우라고도 불리우는 대하를 이용하여 시원한 맛이 일품이 대하달걀탕을 만들었습니다,해장
북어해장국,고소하고 담백한 북어해장국입니다.,해장
매생이굴국,바다의 우유라는 굴을 넣고 끓인 매생이 굴국  요거 드시면 뽀샤시한 미인이 된다길래 뽀샤시 미인 되볼라고 매생이 굴국 끓입니다.,해장
김치칼국수,쌀쌀할 때 좋은 뜨끈하고 얼큰한 김치칼국수입니다. 해장할때 먹어도 좋아요.,해장
콩나물김치국,착한재료에 맛도 착한 콩나물 김치국. 잦은 연말모임에 지친 울 옆지기님을 위해서 끓여보시는 어떨까요. 오늘날씨 꾸리꾸리하네요. 이런날은 딱히 속풀이 해장국이 아니더라도 국물맛이 시원한 콩나물 김치국 끓여서 뜨신밥 한공기 탁 부어가지고서리 한그릇 먹고나면 좋을거 같은 날씨네요.,해장
야채죽,과음한 다음날 야채죽으로 남편의 위장을 보호해 주고  아이들에게도 영양 만점의 아침이 될 것입니다.,해장
김치수제비된장국,술먹고 들어온뒷날은 밥상을 차려놔도 국물만 한그릇 먹고 가는경우가 많아서 오늘은 국물만 먹어도 한끼 식사가 될거같은 김치수제비 된장국을 끓여봤어요~,해장
다슬기국,간에 좋고 숙취해소에 좋은 아미노산이 풍부한 다슬기국입니다.,해장
북어국,담백한 북어와 시원한 국물의 북어국입니다.,해장
탕,주말식사 준비하실때.. 오늘국은 멀로 끓이실까 고민하지마시고.. 생선탕으로 결정하세요,해장
김치콩나물국,칼칼하고 얼큰하게 만든 김치콩나물국입니다.,해장
미역국,양태라는 생선으로 미역국을 끓여볼거예요~ 생선살도 어찌나 담백한지  미역하고 잘어울리는 맛이예요~,해장
북어계란국,청량고추를 팍팍넣어 칼칼하게 끓인 북엇국입니다. 매콤 북어계란국과 익은 깍두기 반찬 한가지면 한끼식사로 든든합니다~,해장
콩나물국밥,뜨끈하게 속을 데워주는 콩나물국밥 만들어 볼게요.,해장
김치콩나물죽,갱시기라 불리는 경상도 토속음식. 김치콩나물죽 소개합니다.,해장
아귀탕,아귀는 생긴 모습과 달리 맛은 다른 어류와 비교할 수 없을 정도로 담백하고 시원한맛이 나는 생선으로.. 날씨가 추워지는 겨울이 제철로.. 무나 파등을 넣고 끓이는 아구탕은 정말 최고의 맛,해장
선지해장국,정말정말 담백하고 맛있는 선지해장국! 술해장은 물론 철분섭취가 필요할 때 딱입니다 ^^,해장
라면,뜨끈하면서도 시원하고 얼큰한 굴탕라면,해장
콩나물국밥,술마신 다음날 쓰린속을 풀어주는 숙취해소에 도움이되는 콩나물국밥~,해장
소고기배추된장국,오늘은 소고기를 넣은 배추 된장국 소개 드려요.,해장
황태순두부탕, 황태를 이용하여 시원하면서 담백하고 개운한 황태 순두부탕을 소개합니다. ,해장
북어국,시원하고 구수한 북어국입니다.,해장
김치콩나물국밥,은은하고 구수한 맛의 김치콩나물국밥 만들기입니다.,해장
어묵오징어국,오늘처럼 바람이 많이 불고 추운날에는 제가 소개해 드린 어묵오징어국 한그릇과 밥 한공기면 된다지요.,해장
대구탕,지방함량이 적어서 고단백식품이라생선중에서도 아주 보양식으로 으뜸인거죠. 얼큰하고 시원한 대구탕만들어 보아요~,해장
굴국밥,해장국으로 딱 좋은 굴국밥을 만들어봤어요. 굴국밥을 뚝배기에 끓여내면 다 먹을때까지 따끈하게 먹을 수 있어 좋은 요리지요.,해장
해물칼국수,해물칼국수의 부드럽고 쫄깃한 면발에 뜨끈하고 칼칼한 국물 골라먹는 재미~ 해물까지 잔뜩 들어간 해물 칼국수,해장
황태국,광천토굴 새우젓과 황태  무  달걀 등으로 숙취해소에 좋은 시원한 황태국을 끓여 보려고요. 해장국으로 좋으며 시원한 국물 맛이 일품인 황태국 소개합니다.,해장
황태콩나물해장국,부드러운 두부와 아삭한 콩나물에 쫄깃하게 씹히는 황태까지~!! 집에서 끓인 정말 시원한 황태콩나물국입니다,해장
황태국,해독작용을 하는 기능이 있는 식품. 봄철에는 황사먼지를 걸러내야하기 때문에 우리 간이 더욱 바빠질텐데요. 그래서 저도 봄철에 황태국을 자주 끓여먹는답니다,해장
황태누룽지,숙취해소에 좋은 음식 황태에 시원함과 누룽지의 고소함이 만나다.,해장
북어국,주말에 술한잔 하신분들 많으시죠? 역시 해장엔 북어국만큼 시원한게 없는거 같아요... 계란을 풀어 넣어 든든하면서도 무와 북어가 듬뿍 들어가 진하고 담백한 시원한 국물이 보고만 있어도 속까지 시원하게 만들어주네요.,해장
감자미역찌개,평소 미역을 넣어서 찌게나 국물요리를 자주 해요. 햇감자를 넣고 시원한 국물맛이 좋은 미역을 넣어 만든 감자미역찌개  일명 감자미역고추장찌개지요~ 별게 들어간게 없지만 시원한 국물맛과 포실포실 감자가 정말 맛있어요~!,해장
황태죽,숙취해소에 좋은 황태로 죽만들기,해장
오리탕,엄마표 보양식! 따끈한 국물맛이 좋은 오리탕,해장
